tss_id	start	stop	strand	name	source	condition	HT	classic	prediction	orientation	type	alt_id
CTSS41	3729	3729	-	thrC,thrB	Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	upstream/antisense,intragenic/antisense	TSS	HT_Storz_23,HT_Storz_24,HT_Storz_25,HT_Storz_26,HT_Storz_27,HT_Storz_28
CTSS42	3756	3756	+	thrC	Storz	LB_2.0	1	0	0	intragenic/sense	TSS	HT_Storz_29
CTSS43	4241	4241	+	thrC	Morett	triphosphate_enrichment	1	0	0	InSense	TSS	HT_Morett_20
CTSS44	4787	4787	+	thrC	Storz	LB_2.0,LB_0.4	1	0	0	intragenic/sense	TSS	HT_Storz_30,HT_Storz_31
CTSS45	4996	4996	-	thrC	Storz	LB_2.0	1	0	0	intragenic/antisense	TSS	HT_Storz_32
CTSS46	5078	5078	-	thrC	Storz	LB_2.0	1	0	0	downstream/antisense	TSS	HT_Storz_33
CTSS47	5079	5079	+	Wade_p9	Wade	NA	1	0	0	NA	TSS	Wade_p9
CTSS48	5147	5147	+	yaaX	Storz	LB_2.0,LB_0.4	1	0	0	upstream/sense	TSS	HT_Storz_34,HT_Storz_35
CTSS49	5652	5652	+	yaaA	Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	downstream/antisense	TSS	HT_Storz_36,HT_Storz_37,HT_Storz_38
CTSS50	5761	5761	+	yaaA	Storz	M63_0.4	1	0	0	intragenic/antisense	TSS	HT_Storz_39
CTSS51	5829	5829	-	yaaA	Storz	LB_2.0	1	0	0	intragenic/sense	TSS	HT_Storz_40
CTSS52	5925	5925	-	yaaA	Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	intragenic/sense	TSS	HT_Storz_41,HT_Storz_42,HT_Storz_43
CTSS53	5943	5943	+	yaaA	Storz	LB_2.0	1	0	0	intragenic/antisense	TSS	HT_Storz_44
CTSS54	6060	6060	+	Wade_p10	Wade	NA	1	0	0	NA	TSS	Wade_p10
CTSS55	6477	6477	-	NA	Palsson	stationary_phase	1	0	0	NA	TSS	HT_Palsson_15
CTSS56	6481	6481	-	b0006	Yan	M9,Rich	1	0	0	NA	TSS	HT_Yan_4,HT_Yan_5
CTSS57	6484	6484	-	yaaA	Morett	triphosphate_enrichment	1	0	0	UpSense	TSS	HT_Morett_21
CTSS58	6728	6728	+	yaaJ	Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	intragenic/antisense	TSS	HT_Storz_45,HT_Storz_46,HT_Storz_47
CTSS59	6966	6966	+	yaaJ	Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	intragenic/antisense	TSS	HT_Storz_48,HT_Storz_49,HT_Storz_50
CTSS60	7398	7398	-	yaaJ	Morett	454_data	1	0	0	NA	TSS	HT_Morett_22
CTSS61	7418	7418	+	yaaJ	Storz	LB_2.0,M63_0.4	1	0	0	intragenic/antisense	TSS	HT_Storz_51,HT_Storz_52
CTSS62	7482	7482	-	yaaJ	Storz	LB_2.0,M63_0.4	1	0	0	intragenic/sense	TSS	HT_Storz_53,HT_Storz_54
CTSS63	7625	7625	+	Wade_p11	Wade	NA	1	0	0	NA	TSS	Wade_p11
CTSS64	7626	7626	+	Wade_p12	Wade	NA	1	0	0	NA	TSS	Wade_p12
CTSS65	8014	8014	-	Wade_p2524	Wade	NA	1	0	0	NA	TSS	Wade_p2524
CTSS66	8042	8042	+	yaaJ,talB	Storz	M63_0.4	1	0	0	upstream/antisense,upstream/sense	TSS	HT_Storz_55,HT_Storz_56
CTSS67	8052	8052	-	Wade_p2525	Wade	NA	1	0	0	NA	TSS	Wade_p2525
CTSS68	8053	8053	-	yaaJ	Storz	LB_2.0,M63_0.4	1	0	0	upstream/sense	TSS	HT_Storz_57,HT_Storz_58
CTSS69	8094	8094	+	NA	Palsson	glutamine_nitrogen	1	0	0	NA	TSS	HT_Palsson_16
CTSS70	8168	8168	-	NA	Palsson	exponential_phase	1	0	0	NA	TSS	HT_Palsson_17
CTSS71	8190	8190	+	b0008,b0008,b0009	Yan	M9,Rich	1	0	0	NA	TSS	HT_Yan_6,HT_Yan_7,HT_Yan_8,HT_Yan_9
CTSS72	8191	8191	+	talB,talBp	Morett,Palsson,RegulonDB	triphosphate_enrichment,RACE_data,exponential_phase,glutamine_nitrogen	1	1	0	UpSense	TSS	HT_Morett_23,HT_Morett_24,HT_Palsson_18,HT_Palsson_19,ECK120034390
CTSS73	8192	8192	+	Wade_p13	Wade	NA	1	0	0	NA	TSS	Wade_p13
CTSS74	8193	8193	+	talB	Morett	454_data	1	0	0	NA	TSS	HT_Morett_25
CTSS75	8198	8198	+	talB	Morett	triphosphate_enrichment	1	0	0	UpSense	TSS	HT_Morett_26
CTSS76	8203	8203	+	talB	Morett	454_data	1	0	0	NA	TSS	HT_Morett_27
CTSS77	8211	8211	+	talB	Morett	triphosphate_enrichment	1	0	0	UpSense	TSS	HT_Morett_28
CTSS78	8226	8226	-	talB,yaaJ	Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	upstream/antisense,upstream/sense	TSS	HT_Storz_59,HT_Storz_60,HT_Storz_61,HT_Storz_62,HT_Storz_63,HT_Storz_64
CTSS79	8229	8229	+	talB,b0008	Morett,Yan	triphosphate_enrichment,M9	1	0	0	UpSense	TSS	HT_Morett_29,HT_Yan_10
CTSS80	8232	8232	+	talB	Morett	triphosphate_enrichment	1	0	0	UpSense	TSS	HT_Morett_30
CTSS81	8237	8237	+	NA	Palsson	stationary_phase	1	0	0	NA	TSS	HT_Palsson_20
CTSS82	8319	8319	-	talB	Storz	M63_0.4	1	0	0	intragenic/antisense	TSS	HT_Storz_65
CTSS83	8352	8352	+	talB	Morett	triphosphate_enrichment	1	0	0	InSense	TSS	HT_Morett_31
CTSS84	8443	8443	-	NA	Palsson	exponential_phase,stationary_phase,glutamine_nitrogen,heat_shock	1	0	0	NA	TSS	HT_Palsson_21,HT_Palsson_22,HT_Palsson_23,HT_Palsson_24
CTSS85	8542	8542	-	talB	Storz	LB_2.0,M63_0.4	1	0	0	intragenic/antisense	TSS	HT_Storz_66,HT_Storz_67
CTSS86	8581	8581	-	talB	Storz	LB_2.0,M63_0.4	1	0	0	intragenic/antisense	TSS	HT_Storz_68,HT_Storz_69
CTSS87	8638	8638	+	talB	Morett	triphosphate_enrichment	1	0	0	InSense	TSS	HT_Morett_32
CTSS88	8858	8858	-	talB	Storz	M63_0.4	1	0	0	intragenic/antisense	TSS	HT_Storz_70
CTSS89	8860	8860	-	talB	Storz	LB_2.0	1	0	0	intragenic/antisense	TSS	HT_Storz_71
CTSS90	9213	9213	-	talB,mog	Storz	LB_0.4	1	0	0	downstream/antisense,upstream/antisense	TSS	HT_Storz_72,HT_Storz_73
CTSS91	9276	9276	+	b0009	Yan	M9,Rich	1	0	0	NA	TSS	HT_Yan_11,HT_Yan_12
CTSS92	9277	9277	+	Wade_p14,mog	Wade,Morett,Storz	triphosphate_enrichment,LB_2.0,M63_0.4	1	0	0	UpSense,upstream/sense	TSS	Wade_p14,HT_Morett_33,HT_Storz_74,HT_Storz_75
CTSS93	9359	9359	-	Wade_p2526,mog	Wade,Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	intragenic/antisense	TSS	Wade_p2526,HT_Storz_76,HT_Storz_77,HT_Storz_78
CTSS94	10476	10476	-	yaaH	Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	intragenic/sense	TSS	HT_Storz_79,HT_Storz_80,HT_Storz_81
CTSS95	10563	10563	-	NA	Palsson	exponential_phase	1	0	0	NA	TSS	HT_Palsson_25
CTSS96	10564	10564	-	NA	Palsson	exponential_phase	1	0	0	NA	TSS	HT_Palsson_26
CTSS97	10584	10584	+	yaaH,yaaW	Storz	LB_2.0,M63_0.4	1	0	0	upstream/antisense,downstream/antisense	TSS	HT_Storz_82,HT_Storz_83,HT_Storz_84,HT_Storz_85
CTSS98	10643	10643	+	htgAp2	RegulonDB	NA	0	1	0	NA	TSS	ECK120010501
CTSS99	10644	10644	+	htgAp1	RegulonDB	Sigma32	0	1	0	NA	TSS	ECK120010500
CTSS100	10989	10989	-	Wade_p2527,yaaW	Wade,Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	intragenic/sense	TSS	Wade_p2527,HT_Storz_86,HT_Storz_87,HT_Storz_88
CTSS101	11017	11017	-	Wade_p2528	Wade	NA	1	0	0	NA	TSS	Wade_p2528
CTSS102	11033	11033	-	yaaW	Storz	LB_2.0,LB_0.4	1	0	0	intragenic/sense	TSS	HT_Storz_89,HT_Storz_90
CTSS103	11090	11090	+	yaaW	Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	intragenic/antisense	TSS	HT_Storz_91,HT_Storz_92,HT_Storz_93
CTSS104	11407	11407	+	yaaW,yaaI	Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	upstream/antisense,intragenic/antisense	TSS	HT_Storz_94,HT_Storz_95,HT_Storz_96,HT_Storz_97,HT_Storz_98,HT_Storz_99
CTSS105	11543	11543	+	yaaI	Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	intragenic/antisense	TSS	HT_Storz_100,HT_Storz_101,HT_Storz_102
CTSS106	11936	11936	-	yaaI	Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	upstream/sense	TSS	HT_Storz_103,HT_Storz_104,HT_Storz_105
CTSS107	12047	12047	+	b0014,b0014,b0015,b0016	Yan	M9,Rich	1	0	0	NA	TSS	HT_Yan_13,HT_Yan_14,HT_Yan_15,HT_Yan_16
CTSS108	12048	12048	+	dnaK,dnaKp1	Morett,Storz,Palsson,RegulonDB	triphosphate_enrichment,LB_2.0,M63_0.4,stationary_phase,glutamine_nitrogen,heat_shock,Sigma32	1	1	0	UpSense,upstream/sense	TSS	HT_Morett_34,HT_Storz_106,HT_Storz_107,HT_Palsson_27,HT_Palsson_28,HT_Palsson_29,ECK120010272
CTSS109	12122	12122	+	b0014,b0014,b0015,b0016	Yan	M9,Rich	1	0	0	NA	TSS	HT_Yan_17,HT_Yan_18,HT_Yan_19,HT_Yan_20
CTSS110	12123	12123	+	dnaKp2	RegulonDB	Sigma32	0	1	0	NA	TSS	ECK120010273
CTSS111	12132	12132	-	Wade_p2529,dnaK	Wade,Storz	M63_0.4	1	0	0	upstream/antisense	TSS	Wade_p2529,HT_Storz_108
CTSS112	12133	12133	+	Wade_p15	Wade	NA	1	0	0	NA	TSS	Wade_p15
CTSS113	12135	12135	-	dnaK	Storz	LB_2.0,LB_0.4	1	0	0	upstream/antisense	TSS	HT_Storz_109,HT_Storz_110
CTSS114	12142	12142	+	dnaK	Morett	triphosphate_enrichment	1	0	0	UpSense	TSS	HT_Morett_35
CTSS115	12144	12144	+	dnaKp3	RegulonDB	Sigma32	0	1	0	NA	TSS	ECK120010510
CTSS116	12381	12381	-	NA	Palsson	stationary_phase,glutamine_nitrogen	1	0	0	NA	TSS	HT_Palsson_30,HT_Palsson_31
CTSS117	12891	12891	+	dnaK	Morett	triphosphate_enrichment	1	0	0	InSense	TSS	HT_Morett_36
CTSS118	13044	13044	+	dnaK	Morett	triphosphate_enrichment	1	0	0	InSense	TSS	HT_Morett_37
CTSS119	13046	13046	+	dnaK	Morett	triphosphate_enrichment	1	0	0	InSense	TSS	HT_Morett_38
CTSS120	13048	13048	+	dnaK	Morett	triphosphate_enrichment	1	0	0	InSense	TSS	HT_Morett_39
CTSS121	13052	13052	+	dnaK	Morett	triphosphate_enrichment	1	0	0	InSense	TSS	HT_Morett_40
CTSS122	13058	13058	+	dnaK	Morett	triphosphate_enrichment	1	0	0	InSense	TSS	HT_Morett_41
CTSS123	13064	13064	+	dnaK	Morett	triphosphate_enrichment	1	0	0	InSense	TSS	HT_Morett_42
CTSS124	13082	13082	+	dnaK	Morett	triphosphate_enrichment	1	0	0	InSense	TSS	HT_Morett_43
CTSS125	13083	13083	+	dnaK	Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	intragenic/sense	TSS	HT_Storz_111,HT_Storz_112,HT_Storz_113
CTSS126	13111	13111	+	dnaK	Morett	triphosphate_enrichment	1	0	0	InSense	TSS	HT_Morett_44
CTSS127	13112	13112	+	b0014,b0015,b0016	Yan	M9	1	0	0	NA	TSS	HT_Yan_21
CTSS128	13127	13127	+	dnaK	Morett	triphosphate_enrichment	1	0	0	InSense	TSS	HT_Morett_45
CTSS129	13129	13129	+	dnaK	Morett	triphosphate_enrichment	1	0	0	InSense	TSS	HT_Morett_46
CTSS130	13619	13619	+	dnaK	Storz	M63_0.4	1	0	0	intragenic/sense	TSS	HT_Storz_114
CTSS131	13932	13932	+	dnaJ,dnaK	Storz	M63_0.4	1	0	0	upstream/sense,intragenic/sense	TSS	HT_Storz_115,HT_Storz_116
CTSS132	14092	14092	-	dnaK,dnaJ	Storz	LB_2.0	1	0	0	downstream/antisense,upstream/antisense	TSS	HT_Storz_117,HT_Storz_118
CTSS133	14095	14095	-	dnaK,dnaJ	Storz	M63_0.4,LB_0.4	1	0	0	downstream/antisense,upstream/antisense	TSS	HT_Storz_119,HT_Storz_120,HT_Storz_121,HT_Storz_122
CTSS134	14534	14534	+	Wade_p16	Wade	NA	1	0	0	NA	TSS	Wade_p16
CTSS135	14535	14535	+	dnaJ	Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	intragenic/sense	TSS	HT_Storz_123,HT_Storz_124,HT_Storz_125
CTSS136	14536	14536	+	Wade_p17	Wade	NA	1	0	0	NA	TSS	Wade_p17
CTSS137	14884	14884	+	Wade_p18	Wade	NA	1	0	0	NA	TSS	Wade_p18
CTSS138	15080	15080	+	dnaJ	Storz	LB_2.0,M63_0.4	1	0	0	intragenic/sense	TSS	HT_Storz_126,HT_Storz_127
CTSS139	15441	15441	+	insL1	Storz	LB_2.0	1	0	0	upstream/sense	TSS	HT_Storz_128
CTSS140	15444	15444	+	b0016	Yan	M9,Rich	1	0	0	NA	TSS	HT_Yan_22,HT_Yan_23
CTSS141	15463	15463	+	insL-1	Morett	triphosphate_enrichment	1	0	0	UpSense	TSS	HT_Morett_47
CTSS142	15553	15553	+	insL-1	Morett	triphosphate_enrichment	1	0	0	InSense	TSS	HT_Morett_48
CTSS143	16003	16003	-	insL1	Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	intragenic/antisense	TSS	HT_Storz_129,HT_Storz_130,HT_Storz_131
CTSS144	16296	16296	-	insL1	Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	intragenic/antisense	TSS	HT_Storz_132,HT_Storz_133,HT_Storz_134
CTSS145	16460	16460	-	insL1	Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	intragenic/antisense	TSS	HT_Storz_135,HT_Storz_136,HT_Storz_137
CTSS146	16560	16560	-	insL1	Storz	LB_2.0	1	0	0	downstream/antisense	TSS	HT_Storz_138
CTSS147	16872	16872	+	NA	Palsson	glutamine_nitrogen	1	0	0	NA	TSS	HT_Palsson_32
CTSS148	16949	16949	-	hokC,sokC,mokC	Storz,Palsson	LB_2.0,M63_0.4,LB_0.4,glutamine_nitrogen	1	0	0	upstream/sense,upstream/antisense,intragenic/sense	TSS	HT_Storz_139,HT_Storz_140,HT_Storz_141,HT_Storz_142,HT_Storz_143,HT_Storz_144,HT_Storz_145,HT_Storz_146,HT_Storz_147,HT_Palsson_33
CTSS149	16952	16952	+	Wade_p19,hokC,mokC,sokC	Wade,Storz,Palsson	LB_2.0,M63_0.4,LB_0.4,exponential_phase	1	0	0	upstream/antisense,intragenic/antisense,upstream/sense	TSS	Wade_p19,HT_Storz_148,HT_Storz_149,HT_Storz_150,HT_Storz_151,HT_Storz_152,HT_Storz_153,HT_Storz_154,HT_Storz_155,HT_Storz_156,HT_Palsson_34
CTSS150	16961	16961	-	mokC	Morett,Palsson	triphosphate_enrichment,glutamine_nitrogen	1	0	0	UpSense	TSS	HT_Morett_49,HT_Palsson_35
CTSS151	16996	16996	+	NA	Palsson	exponential_phase	1	0	0	NA	TSS	HT_Palsson_36
CTSS152	17007	17007	-	sokC,mokC	Storz	M63_0.4	1	0	0	downstream/antisense,upstream/sense	TSS	HT_Storz_157,HT_Storz_158
CTSS153	17053	17053	-	mokC,sokC	Storz,Palsson	LB_2.0,LB_0.4,exponential_phase	1	0	0	upstream/sense,downstream/antisense	TSS	HT_Storz_159,HT_Storz_160,HT_Storz_161,HT_Storz_162,HT_Palsson_37
CTSS154	17143	17143	-	Wade_p2530	Wade	NA	1	0	0	NA	TSS	Wade_p2530
CTSS155	17151	17151	-	mokC	Storz	LB_2.0	1	0	0	upstream/sense	TSS	HT_Storz_163
CTSS156	17215	17215	+	nhaA	Storz	LB_2.0	1	0	0	upstream/sense	TSS	HT_Storz_164
CTSS157	17224	17224	+	nhaA	Storz,Palsson	LB_2.0,M63_0.4,LB_0.4,exponential_phase	1	0	0	upstream/sense	TSS	HT_Storz_165,HT_Storz_166,HT_Storz_167,HT_Palsson_38
CTSS158	17311	17311	+	nhaA	Storz,Palsson	LB_2.0,M63_0.4,LB_0.4,stationary_phase,heat_shock	1	0	0	upstream/sense	TSS	HT_Storz_168,HT_Storz_169,HT_Storz_170,HT_Palsson_39,HT_Palsson_40
CTSS159	17317	17317	+	nhaAp2	RegulonDB	Sigma38	0	1	0	NA	TSS	ECK120009983
CTSS160	17374	17374	-	NA	Palsson	stationary_phase,heat_shock	1	0	0	NA	TSS	HT_Palsson_41,HT_Palsson_42
CTSS161	17414	17414	-	nhaA	Storz	LB_2.0,M63_0.4	1	0	0	upstream/antisense	TSS	HT_Storz_171,HT_Storz_172
CTSS162	17422	17422	+	Wade_p20,nhaA	Wade,Storz	LB_2.0,M63_0.4	1	0	0	upstream/sense	TSS	Wade_p20,HT_Storz_173,HT_Storz_174
CTSS163	17423	17423	+	Wade_p21	Wade	NA	1	0	0	NA	TSS	Wade_p21
CTSS164	17426	17426	+	Wade_p22	Wade	NA	1	0	0	NA	TSS	Wade_p22
CTSS165	17453	17453	+	b0019,b0020,b0019	Yan	M9,Rich	1	0	0	NA	TSS	HT_Yan_24,HT_Yan_25,HT_Yan_26
CTSS166	17454	17454	+	nhaA	Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	upstream/sense	TSS	HT_Storz_175,HT_Storz_176,HT_Storz_177
CTSS167	17458	17458	+	nhaAp1	RegulonDB	Sigma70	0	1	0	NA	TSS	ECK120010251
CTSS168	17589	17589	-	nhaA	Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	intragenic/antisense	TSS	HT_Storz_178,HT_Storz_179,HT_Storz_180
CTSS169	17725	17725	-	Wade_p2531	Wade	NA	1	0	0	NA	TSS	Wade_p2531
CTSS170	17981	17981	+	Wade_p23,nhaA	Wade,Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	intragenic/sense	TSS	Wade_p23,HT_Storz_181,HT_Storz_182,HT_Storz_183
CTSS171	17989	17989	-	Wade_p2532	Wade	NA	1	0	0	NA	TSS	Wade_p2532
CTSS172	18023	18023	+	nhaA	Morett	triphosphate_enrichment	1	0	0	InSense	TSS	HT_Morett_50
CTSS173	18024	18024	+	Wade_p24	Wade	NA	1	0	0	NA	TSS	Wade_p24
CTSS174	18025	18025	+	Wade_p25,nhaA	Wade,Morett,Storz	triphosphate_enrichment,454_data,LB_2.0	1	0	0	InSense,intragenic/sense	TSS	Wade_p25,HT_Morett_51,HT_Morett_52,HT_Storz_184
CTSS175	18373	18373	+	Wade_p26	Wade	NA	1	0	0	NA	TSS	Wade_p26
CTSS176	18374	18374	+	nhaA	Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	intragenic/sense	TSS	HT_Storz_185,HT_Storz_186,HT_Storz_187
CTSS177	18486	18486	+	nhaR	Morett	454_data	1	0	0	NA	TSS	HT_Morett_53
CTSS178	18553	18553	+	nhaA,nhaR	Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	intragenic/sense,upstream/sense	TSS	HT_Storz_188,HT_Storz_189,HT_Storz_190,HT_Storz_191,HT_Storz_192,HT_Storz_193
CTSS179	19132	19132	-	nhaR	Storz	LB_2.0	1	0	0	intragenic/antisense	TSS	HT_Storz_194
CTSS180	19155	19155	+	nhaR	Storz	LB_2.0,M63_0.4	1	0	0	intragenic/sense	TSS	HT_Storz_195,HT_Storz_196
CTSS181	19187	19187	+	nhaR	Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	intragenic/sense	TSS	HT_Storz_197,HT_Storz_198,HT_Storz_199
CTSS182	19486	19486	+	nhaR	Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	intragenic/sense	TSS	HT_Storz_200,HT_Storz_201,HT_Storz_202
CTSS183	19511	19511	-	nhaR	Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	intragenic/antisense	TSS	HT_Storz_203,HT_Storz_204,HT_Storz_205
CTSS184	19532	19532	+	nhaR	Storz	LB_0.4	1	0	0	intragenic/sense	TSS	HT_Storz_206
CTSS185	19659	19659	-	nhaR	Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	downstream/antisense	TSS	HT_Storz_207,HT_Storz_208,HT_Storz_209
CTSS186	19677	19677	+	NA	Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	NA	TSS	HT_Storz_210,HT_Storz_211,HT_Storz_212
CTSS187	19759	19759	+	insB1	Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	downstream/antisense	TSS	HT_Storz_213,HT_Storz_214,HT_Storz_215
CTSS188	19773	19773	-	NA	Storz	LB_2.0	1	0	0	NA	TSS	HT_Storz_216
CTSS189	19831	19831	+	insB1	Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	intragenic/antisense	TSS	HT_Storz_217,HT_Storz_218,HT_Storz_219
CTSS190	20278	20278	+	insB1,insA	Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	intragenic/antisense	TSS	HT_Storz_220,HT_Storz_221,HT_Storz_222,HT_Storz_223,HT_Storz_224,HT_Storz_225
CTSS191	20342	20342	+	insAB-1	Morett	triphosphate_enrichment	1	0	0	InAntiSense	TSS	HT_Morett_54
CTSS192	20526	20526	-	insA	Storz	LB_2.0,M63_0.4,LB_0.4	1	0	0	upstream/sense	TSS	HT_Storz_226,HT_Storz_227,HT_Storz_228
CTSS193	20562	20562	-	insA	Storz	LB_2.0	1	0	0	upstream/sense	TSS	HT_Storz_229
CTSS194	20678	20678	-	insA-1,insA	Morett,Storz	triphosphate_enrichment,LB_2.0,M63_0.4,LB_0.4	1	0	0	UpSenseExten,upstream/sense	TSS	HT_Morett_55,HT_Storz_230,HT_Storz_231,HT_Storz_232
