ctg_id	start	stop	strand	reported_bnumbers	valid_bnumbers	type
CCTG115	119728	121676	-	b0112	b0112	CTG
CCTG116	122024	123393	+	b0113,b0114,b0113	b0113	CTG
CCTG117	122034	129394	+	b0113,b0114,b0115,b0116	b0113,b0114,b0115,b0116	CTG
CCTG118	122969	127619	+	b0114,b0115	b0114,b0115	CTG
CCTG119	127636	129531	+	b0116	b0116	CTG
CCTG120	129407	131260	-	b0117	b0117	CTG
CCTG121	131518	134279	+	b0118	b0118	CTG
CCTG122	131518	134953	+	b0118,b0119	b0118,b0119	CTG
CCTG123	134338	136484	+	b0119	b0119	CTG
CCTG124	134548	136550	-	b0121,b0120	b0120,b0121	CTG
CCTG125	134756	135717	-	b0120	b0120	CTG
CCTG126	134756	136940	-	b0122,b0121,b0120	b0120,b0121,b0122	CTG
CCTG127	135598	136504	-	b0121	b0121	CTG
CCTG128	136511	136938	-	b0122	b0122	CTG
CCTG129	137042	138884	+	b0123	b0123	CTG
CCTG130	138283	141279	-	b0124	b0124	CTG
CCTG131	141360	142003	+	b0125	b0125	CTG
CCTG132	141360	144512	+	b0125,b0127,b0128	b0125,b0127,b0128	CTG
CCTG133	141360	145090	+	b0125,b0127,b0128,b0129,b0125,b0127,b0128,b0129,b0130	b0125,b0127,b0128,b0129	CTG
CCTG134	141776	142703	-	b0126	b0126	CTG
CCTG135	142668	144970	+	b0127,b0128,b0129,b0127,b0128	b0127,b0128	CTG
CCTG136	142668	145139	+	b0127,b0128,b0129,b0130	b0127,b0128,b0129	CTG
CCTG137	144577	145017	+	b0129	b0129	CTG
CCTG138	145081	146310	+	b0130	b0130	CTG
CCTG139	145730	146754	-	b0131	b0131	CTG
CCTG140	146968	147870	+	b0132	b0132	CTG
CCTG141	147624	149630	-	b0134,b0133	b0133,b0134	CTG
CCTG142	147666	148854	-	b0134,b0133	b0133	CTG
CCTG143	149715	150953	-	b0135	b0135	CTG
CCTG144	149715	152812	-	b0138,b0137,b0136,b0135	b0135,b0136,b0137,b0138	CTG
CCTG145	152829	156235	-	b0140,b0139	b0139,b0140	CTG
CCTG146	156299	156883	-	b0141	b0141	CTG
CCTG147	157123	159391	-	b0143,b0142	b0142,b0143	CTG
CCTG148	157341	160656	-	b0145,b0144,b0143,b0142	b0143,b0144,b0145	CTG
CCTG149	159024	161078	-	b0146,b0145,b0144,b0143,b0145,b0144	b0144,b0145	CTG
CCTG150	159833	161142	-	b0146,b0145,b0144,b0145,b0144	b0145	CTG
CCTG151	160094	162053	-	b0147,b0146,b0145,b0144	b0145,b0146,b0147	CTG
CCTG152	160149	161515	-	b0146,b0145	b0145,b0146	CTG
CCTG153	160812	162053	-	b0147,b0146,b0147	b0147	CTG
CCTG154	161664	165677	+	b0148,b0148,b0149	b0148	CTG
CCTG155	164699	168115	+	b0149,b0150,b0149	b0149	CTG
CCTG156	167427	169763	+	b0150	b0150	CTG
CCTG157	167427	171056	+	b0150,b0151,b0152	b0150,b0151	CTG
CCTG158	167427	171825	+	b0150,b0151,b0152,b0153	b0150,b0151,b0152	CTG
CCTG159	167442	173444	+	b0150,b0151,b0152,b0153	b0150,b0151,b0152,b0153	CTG
CCTG160	169123	171109	+	b0150,b0151,b0152	b0151	CTG
CCTG161	169214	172345	+	b0150,b0151,b0152,b0153	b0151,b0152	CTG
CCTG162	172871	174992	-	b0154	b0154	CTG
CCTG163	174932	177624	+	b0155,b0156	b0155,b0156	CTG
CCTG164	175048	175095	+	b4765	b4765	CTG
CCTG165	175107	176528	+	b0155	b0155	CTG
CCTG166	176552	176617	+	b4728	b4728	CTG
CCTG167	176560	177186	+	b0156	b0156	CTG
CCTG168	176672	179183	-	b0159,b0158,b0157	b0157,b0158,b0159	CTG
CCTG169	178422	179181	-	b0159,b0158	b0159	CTG
CCTG170	179196	180754	+	b0160	b0160	CTG
CCTG171	180843	182870	+	b0161,b0161,b0162	b0161	CTG
CCTG172	182447	183620	+	b0162	b0162	CTG
CCTG173	183625	185978	-	b0167,b0166,b0165,b0164,b0163	b0163,b0164,b0166	CTG
CCTG174	183709	184095	-	b0163	b0163	CTG
CCTG175	183812	185976	-	b0166,b0165,b0164,b0163	b0164,b0166	CTG
CCTG176	184257	185069	-	b0164	b0164	CTG
CCTG177	185018	188783	-	b0168,b0167,b0166,b0165,b0164	b0166,b0167	CTG
CCTG178	185083	189553	-	b0168,b0167,b0166,b0165,b0168,b0167,b0166	b0166,b0167,b0168	CTG
CCTG179	185086	185978	-	b0166,b0165,b0167,b0166,b0165,b0166	b0166	CTG
CCTG180	185450	188783	-	b0168,b0167,b0166,b0167	b0167	CTG
CCTG181	185652	189553	-	b0168,b0167,b0166	b0167,b0168	CTG
CCTG182	186193	189553	-	b0168,b0167,b0168	b0168	CTG
CCTG183	189639	191745	+	b4414,b0169,b0170	b4414,b0169,b0170	CTG
CCTG184	189712	190800	+	b4414,b0169	b4414,b0169	CTG
CCTG185	189712	194038	+	b4414,b0169,b0170,b0171,b0172,b0173	b4414,b0169,b0170,b0171,b0172	CTG
CCTG186	189779	191748	+	b4414,b0169,b0170	b0169,b0170	CTG
CCTG187	189839	193490	+	b4414,b0169,b0170,b0171,b0172	b0169,b0170,b0171,b0172	CTG
CCTG188	190440	192546	+	b0169,b0170,b0171	b0170	CTG
CCTG189	190705	193490	+	b0170,b0171,b0172	b0170,b0171,b0172	CTG
CCTG190	190794	195037	+	b0170,b0171,b0172,b0173,b0174	b0170,b0171,b0172,b0173	CTG
CCTG191	191734	195499	+	b0171,b0172,b0173,b0171,b0172,b0173,b0174	b0171,b0172,b0173	CTG
CCTG192	191811	193945	+	b0171,b0172,b0173	b0171,b0172	CTG
CCTG193	191812	192580	+	b0171	b0171	CTG
CCTG194	192616	193498	+	b0172	b0172	CTG
CCTG195	192616	196318	+	b0172,b0173,b0174,b0175	b0172,b0173,b0174	CTG
CCTG196	192616	197004	+	b0172,b0173,b0174,b0175,b0176	b0172,b0173,b0174,b0175	CTG
CCTG197	192813	194846	+	b0172,b0173	b0172,b0173	CTG
CCTG198	193521	196534	+	b0173,b0174,b0175	b0173,b0174,b0175	CTG
CCTG199	194783	198821	+	b0174,b0175,b0176,b0177	b0174,b0175,b0176	CTG
CCTG200	194784	196534	+	b0174,b0175	b0174,b0175	CTG
CCTG201	195677	196534	+	b0175	b0175	CTG
CCTG202	196158	199619	+	b0175,b0176,b0177,b0176	b0176	CTG
CCTG203	197025	200927	+	b0176,b0177,b0178,b0177	b0177	CTG
CCTG204	197025	201732	+	b0176,b0177,b0178,b0179	b0177,b0178	CTG
CCTG205	197026	208608	+	b0177,b0178,b0179,b0180,b0181,b0182,b0183,b0184	b0177,b0178,b0179,b0180,b0181,b0182,b0183,b0184	CTG
CCTG206	199979	202062	+	b0177,b0178,b0179,b0178,b0179	b0178,b0179	CTG
CCTG207	200398	204476	+	b0178,b0179,b0180,b0181,b0182,b0178,b0179,b0180,b0181	b0178,b0179,b0180,b0181	CTG
CCTG208	200398	204536	+	b0178,b0179,b0180,b0181,b0182,b0183	b0178,b0179,b0180,b0181,b0182	CTG
CCTG209	200960	201996	+	b0179	b0179	CTG
CCTG210	201483	204945	+	b0179,b0180,b0181,b0182,b0183	b0180,b0181,b0182	CTG
CCTG211	201483	206511	+	b0179,b0180,b0181,b0182,b0183,b0184,b0180,b0181,b0182,b0183,b0184	b0180,b0181,b0182,b0183	CTG
CCTG212	202072	203408	+	b0180,b0181,b0182	b0180,b0181	CTG
CCTG213	202101	202556	+	b0180	b0180	CTG
CCTG214	202109	204178	+	b0180,b0181,b0182	b0181	CTG
CCTG215	202135	205522	+	b0180,b0181,b0182,b0183,b0184	b0181,b0182,b0183	CTG
CCTG216	202136	204969	+	b0180,b0181,b0182,b0183	b0181,b0182	CTG
CCTG217	207633	209626	+	b0184,b0185,b0185	b0185	CTG
CCTG218	209679	211820	+	b0186	b0186	CTG
CCTG219	211857	213887	+	b0187,b0188	b0187,b0188	CTG
CCTG220	211877	212266	+	b0187	b0187	CTG
CCTG221	212305	213883	+	b0188	b0188	CTG
CCTG222	213678	214187	-	b4406,b0189	b0189,b4406	CTG
CCTG223	214269	216417	+	b0190,b0191,b0192	b0190,b0191,b0192	CTG
CCTG224	214988	216171	+	b0191,b0192	b0192	CTG
CCTG225	215562	218837	-	b0194,b0193	b0193,b0194	CTG
CCTG226	216179	217003	-	b0193	b0193	CTG
CCTG227	216669	218988	-	b0194,b0193,b0195,b0194,b0193,b0194	b0194	CTG
CCTG228	216875	220022	-	b0196,b0195,b0194,b0193,b0196,b0195,b0194	b0194,b0195,b0196	CTG
CCTG229	218798	220072	-	b0196,b0195	b0195,b0196	CTG
CCTG230	219485	222714	-	b0199,b0198,b0197,b0196,b0195	b0196,b0197,b0198,b0199	CTG
CCTG231	220050	221367	-	b0198,b0197	b0197	CTG
CCTG232	220052	222714	-	b0199,b0198,b0197	b0197,b0198,b0199	CTG
CCTG233	222805	223655	+	b0200	b0200	CTG
CCTG234	222805	225434	+	b0200,b0201,b0202	b0200,b0201	CTG
CCTG235	223484	226588	+	b0201,b0202,b0203,b0201,b0202,b0203,b0204	b0201,b0202,b0203	CTG
CCTG236	223485	228875	+	b0201,b0202,b0203,b0204,b0205	b0201,b0202,b0203,b0204,b0205	CTG
CCTG237	223594	225528	+	b0201,b0202,b0203	b0201,b0202	CTG
CCTG238	223775	225563	+	b0201,b0202,b0203	b0202	CTG
CCTG239	225015	226087	+	b0201,b0202,b0203,b0204	b0202,b0203	CTG
CCTG240	225759	228875	+	b0204,b0205	b0204,b0205	CTG
CCTG241	228928	229052	+	b0206	b0206	CTG
CCTG242	229098	230072	+	b0207	b0207	CTG
CCTG243	229816	230925	-	b0208	b0208	CTG
CCTG244	231064	232549	+	b0209,b0210	b0209,b0210	CTG
CCTG245	231075	232487	+	b0209,b0210	b0209	CTG
CCTG246	232506	233982	-	b0211	b0211	CTG
CCTG247	233608	236040	-	b0214,b0212,b0211	b0212,b0214	CTG
CCTG248	234027	234782	-	b0212	b0212	CTG
CCTG249	234784	235879	+	b0213	b0213	CTG
CCTG250	235535	236041	-	b0214	b0214	CTG
CCTG251	235934	236985	+	b0215,b0215,b0216	b0215	CTG
CCTG252	236020	237069	+	b0215,b0216	b0215,b0216	CTG
CCTG253	236913	237067	+	b0216	b0216	CTG
CCTG254	237335	238120	+	b0217	b0217	CTG
CCTG255	238257	238736	-	b4586	b4586	CTG
CCTG256	238746	239084	-	b0218	b0218	CTG
CCTG257	239118	240216	-	b0219	b0219	CTG
CCTG258	239190	239378	+	b4503	b4503	CTG
CCTG259	240343	240816	+	b0220	b0220	CTG
CCTG260	240859	243406	-	b0221	b0221	CTG
CCTG261	243511	245637	+	b0222,b0223	b0222,b0223	CTG
CCTG262	243543	244121	+	b0222	b0222	CTG
CCTG263	244327	245094	+	b0223	b0223	CTG
CCTG264	244676	245884	-	b0224	b0224	CTG
CCTG265	244895	246533	-	b0226,b0225,b0224	b0224,b0225,b0226	CTG
CCTG266	245961	246615	-	b0226,b0225	b0225,b0226	CTG
CCTG267	246712	247461	+	b0227	b0227	CTG
CCTG268	247637	248134	+	b0228	b0228	CTG
CCTG269	248358	250070	-	b0229	b0229	CTG
CCTG270	250072	250827	+	b0230	b0230	CTG
CCTG271	250880	252694	+	b0231,b0232,b0233	b0231,b0232	CTG
CCTG272	250880	253161	+	b0231,b0232,b0233,b0234	b0231,b0232,b0233,b0234	CTG
CCTG273	251969	253213	+	b0232,b0233,b0234	b0232,b0233,b0234	CTG
CCTG274	253467	254202	+	b0235,b0236	b0235,b0236	CTG
CCTG275	253819	255809	-	b0237	b0237	CTG
CCTG276	255914	256474	+	b0238	b0238	CTG
CCTG277	255917	258946	+	b0238,b0239,b0240	b0238,b0239	CTG
CCTG278	256501	259455	+	b0239,b0240	b0239,b0240	CTG
CCTG279	256502	257771	+	b0239	b0239	CTG
CCTG280	257923	258426	-	b4710	b4710	CTG
CCTG281	258345	258620	-	b4709	b4709	CTG
CCTG282	259045	260158	-	b0241	b0241	CTG
CCTG283	260237	263517	+	b0242,b0243,b0244	b0242,b0243,b0244	CTG
CCTG284	260348	262822	+	b0242,b0243	b0242,b0243	CTG
CCTG285	260366	262424	+	b0242,b0243	b0242	CTG
CCTG286	261443	263013	+	b0242,b0243,b0244	b0243,b0244	CTG
CCTG287	262841	262946	+	b0244	b0244	CTG
CCTG288	263150	263212	-	b4626	b4626	CTG
CCTG289	263328	264732	-	b0247,b4504,b0246,b0245	b0245,b0246,b4504,b0247	CTG
CCTG290	263328	266227	-	b0250,b0249,b0248,b0247,b4504,b0246,b0245	b0245,b0246,b4504,b0247,b0248,b0249,b0250	CTG
CCTG291	263328	266553	-	b0251,b0250,b0249,b0248,b0247,b4504,b0246,b0245	b0245,b0246,b4504,b0247,b0248,b0249,b0250,b0251	CTG
CCTG292	267184	268026	-	b0252	b0252	CTG
CCTG293	267184	268960	-	b0253,b0252	b0252,b0253	CTG
CCTG294	268037	269107	-	b0253	b0253	CTG
CCTG295	269289	270182	-	b0254	b0254	CTG
CCTG296	270226	271754	+	b4587,b0256	b0256	CTG
CCTG297	270257	273516	+	b4587,b0256,b4690,b0258	b4587,b0256,b4690	CTG
CCTG298	272847	273992	+	b0258	b0258	CTG
CCTG299	274101	275081	-	b0259	b0259	CTG
CCTG300	275285	277869	+	b0260,b0261	b0260,b0261	CTG
CCTG301	276673	278973	+	b0260,b0261	b0261	CTG
CCTG302	277756	279875	-	b0265,ECK120023913,b0264,b0263,b0262	b0262,b0263,ECK120023913,b0264,b0265	CTG
CCTG303	280114	281983	-	b0267,b0266,b4505	b0266,b0267	CTG
CCTG304	282278	285168	+	b0268,b0269	b0268,b0269	CTG
CCTG305	285313	289190	-	b0272	b0272	CTG
CCTG306	285352	288965	+	b0270,b0271	b0270,b0271	CTG
CCTG307	287944	290341	-	b0273,b0272	b0272,b0273	CTG
CCTG308	289240	290340	-	b0273	b0273	CTG
CCTG309	290275	290370	-	b4766	b4766	CTG
CCTG310	290510	290638	+	b4688	b4688	CTG
CCTG311	290649	291346	-	b0275,b0274,ECK120023914	b0274,ECK120023914,b0275	CTG
CCTG312	291500	292231	+	b0276	b0276	CTG
CCTG313	292322	293118	-	b0277	b0277	CTG
CCTG314	293220	294799	-	b0279,b0278	b0278,b0279	CTG
CCTG315	294918	295142	-	b4729	b4729	CTG
CCTG316	295006	297046	-	b0280,b0281,b0280	b0280	CTG
CCTG317	295696	297096	-	b0281	b0281	CTG
CCTG318	297137	297304	-	ECK125146691	ECK125146691	CTG
CCTG319	297381	297791	-	b0282	b0282	CTG
CCTG320	297770	302573	-	b0286,b0285,b0284,b0283	b0283,b0284,b0285,b0286	CTG
CCTG321	302958	304606	+	b0287	b0287	CTG
CCTG322	303853	304182	-	b0288	b0288	CTG
CCTG323	304495	310119	-	b0292,b0291,b0290,b0289	b0289,b0290,b0291,b0292	CTG
CCTG324	310084	310797	-	b0293	b0293	CTG
CCTG325	310746	311393	-	b0294	b0294	CTG
CCTG326	312112	312339	+	b0295	b0295	CTG
CCTG327	312374	312805	-	b0296,b4506	b4506,b0296	CTG
CCTG328	313141	313285	-	b4671	b4671	CTG
CCTG329	313716	313805	-	b4630	b4630	CTG
CCTG330	314357	316453	+	b0297,ECK120023906,b0298,b0299	b0297,ECK120023906,b0298,b0299	CTG
CCTG331	315277	316499	+	b0298,b0299	b0298,b0299	CTG
CCTG332	316450	317136	-	b0300	b0300	CTG
CCTG333	317726	318567	-	b0303,b0301	b0301,b0303	CTG
CCTG334	317726	320215	-	b0304,b0303,b0301	b0301,b0303,b0304	CTG
CCTG335	320227	321081	+	b0305	b0305	CTG
CCTG336	321483	324890	+	b0306,b0307,b0308	b0306,b0307,b0308	CTG
CCTG337	324696	325364	-	b0310	b0310	CTG
CCTG338	325472	329361	-	b0313,b0312,b0311	b0311,b0312,b0313	CTG
CCTG339	329420	331693	+	b0314	b0314	CTG
CCTG340	331802	331876	+	b4730	b4730	CTG
CCTG341	331873	333519	+	b0315	b0315	CTG
CCTG342	333501	334433	-	b0316	b0316	CTG
CCTG343	334525	335022	-	b0317	b0317	CTG
CCTG344	335280	339743	+	b0318,b0319,b0320,b0321	b0318,b0319,b0320,b0321	CTG
CCTG345	335739	336788	+	b0319	b0319	CTG
CCTG346	339769	340089	+	b0322	b0322	CTG
CCTG347	340165	342507	+	b0323,b0324	b0323,b0324	CTG
CCTG348	342884	343933	+	b0325	b0325	CTG
CCTG349	344176	344991	+	b0326	b0326	CTG
CCTG350	345404	345649	+	b0327	b0327	CTG
CCTG351	345666	346337	-	b0328	b0328	CTG
CCTG352	346432	346759	+	b0329	b0329	CTG
CCTG353	346857	348471	-	b0330	b0330	CTG
CCTG354	348646	354592	+	b0331,b0333,b0334,b0335	b0331,b0333,b0334,b0335	CTG
CCTG355	354883	357880	+	b0336,b0337	b0336,b0337	CTG
CCTG356	356004	357797	+	b0336,b0337	b0337	CTG
CCTG357	357497	358714	-	b0338	b0338	CTG
CCTG358	358773	360278	+	b0339,b0340	b0339,b0340	CTG
CCTG359	358773	361236	+	b0339,b0340,b0341	b0339,b0340,b0341	CTG
CCTG360	361140	363179	-	b0343,b0342	b0342,b0343	CTG
CCTG361	361140	366377	-	b0344,b0343,b0342	b0342,b0343,b0344	CTG
CCTG362	361797	366343	-	b0344,b0343,b0342	b0343,b0344	CTG
CCTG363	364347	367538	-	b0345,b0344,b0345	b0345	CTG
CCTG364	366428	368536	-	b0346,b0345	b0345,b0346	CTG
CCTG365	368519	374881	+	b0347,b0348,b0349,b0350,b0351,b0352	b0347,b0348,b0349,b0350,b0351,b0352	CTG
CCTG366	375386	376670	+	b0353	b0353	CTG
CCTG367	376741	378154	+	b0354	b0354	CTG
CCTG368	377316	379900	-	b0357,b0356,b0355	b0355,b0356,b0357	CTG
CCTG369	380069	380842	-	b0358	b0358	CTG
CCTG370	380844	382872	-	b4579	b4579	CTG
CCTG371	381258	383395	+	b0360,b0361	b0360,b0361	CTG
CCTG372	381351	382579	+	ECK120023917,b0360,b0361	ECK120023917,b0360,b0361	CTG
CCTG373	382739	383935	-	b0363	b0363	CTG
CCTG374	383960	384079	+	b4731	b4731	CTG
CCTG375	384059	384616	-	b0364	b0364	CTG
CCTG376	385205	388445	+	b0365,b0366,b0367,b0368	b0365,b0366,b0367	CTG
CCTG377	385205	388739	+	b0365,b0366,b0367,b0368	b0365,b0366,b0367,b0368	CTG
CCTG378	388487	389775	-	b0369	b0369	CTG
CCTG379	390251	394418	+	b4580	b4580	CTG
CCTG380	391592	391648	-	b4767	b4767	CTG
CCTG381	391739	392901	-	b0373,b0372,ECK120023908	b0372,ECK120023908,b0373	CTG
CCTG382	394506	395129	+	b0375	b0375	CTG
