tfbs_id	start	stop	TF_name	TF_bnumber	effect	evidence	confidence	type	alt_id	Zika_gene_id
CTFBS23	42003	42017	ArcA	b4401	+	[GEA|W|Gene expression analysis],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[CV(GEA)|S|cross validation(GEA)]	Strong	TFBS	ECK120011972	14
CTFBS24	42068	42090	CRP	b3357	+	[BCE|W|Binding of cellular extracts],[GEA|W|Gene expression analysis],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[CV(GEA)|S|cross validation(GEA)]	Strong	TFBS	ECK120013333	35
CTFBS25	42072	42085	FNR	b1334	+	[GEA|W|Gene expression analysis],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[CV(GEA)|S|cross validation(GEA)]	Strong	TFBS	ECK120017039	79
CTFBS26	42121	42134	FNR	b1334	+	[GEA|W|Gene expression analysis],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[CV(GEA)|S|cross validation(GEA)]	Strong	TFBS	ECK120020662	79
CTFBS27	42121	42135	ArcA	b4401	+	[GEA|W|Gene expression analysis],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[CV(GEA)|S|cross validation(GEA)]	Strong	TFBS	ECK120011968	14
CTFBS28	42131	42145	ArcA	b4401	+	[GEA|W|Gene expression analysis],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[CV(GEA)|S|cross validation(GEA)]	Strong	TFBS	ECK120011970	14
CTFBS29	42181	42196	CaiF	b0034	+	[GEA|W|Gene expression analysis],[CV(GEA)|C|cross validation(GEA)],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK125109819	27
CTFBS30	42188	42209	CRP	b3357	+	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[CV(GEA)|S|cross validation(GEA)]	Strong	TFBS	ECK120013721	35
CTFBS31	42200	42215	CaiF	b0034	+	[GEA|W|Gene expression analysis],[CV(GEA)|C|cross validation(GEA)],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120013811	27
CTFBS32	42238	42253	CaiF	b0034	+	[GEA|W|Gene expression analysis],[CV(GEA)|C|cross validation(GEA)],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK125109820	27
CTFBS33	42245	42266	CRP	b3357	+	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[CV(GEA)|S|cross validation(GEA)]	Strong	TFBS	ECK120013719	35
CTFBS34	42257	42272	CaiF	b0034	+	[GEA|W|Gene expression analysis],[CV(GEA)|C|cross validation(GEA)],[BPP|S|Binding of purified proteins],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120013813	27
CTFBS35	49642	49659	TyrR	b1323	+	[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[CV(SM)|C|cross validation(SM)],[BPP|S|Binding of purified proteins],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120033049	209
CTFBS36	49684	49701	TyrR	b1323	+	[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[CV(SM)|C|cross validation(SM)],[BPP|S|Binding of purified proteins],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120033047	209
CTFBS37	49728	49740	IHF	b0912	+	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[CV(GEA)|S|cross validation(GEA)]	Strong	TFBS	ECK120033051	110
CTFBS38	49728	49740	IHF	b1712	+	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[CV(GEA)|S|cross validation(GEA)]	Strong	TFBS	ECK120033051	109
CTFBS39	65834	65853	LexA	b4043	-	[GEA|W|Gene expression analysis],[CV(GEA)|C|cross validation(GEA)],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120015626	117
CTFBS40	70110	70126	AraC	b0064	+	[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[CV(SM)|C|cross validation(SM)],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120015742	13
CTFBS41	70131	70147	AraC	b0064	+	[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[CV(SM)|C|cross validation(SM)],[BPP|S|Binding of purified proteins],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120012328	13
CTFBS42	70131	70147	AraC	b0064	-	[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[CV(SM)|C|cross validation(SM)],[BPP|S|Binding of purified proteins],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120012328	13
CTFBS43	70158	70179	CRP	b3357	+	[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[CV(SM)|C|cross validation(SM)],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120012600	35
CTFBS44	70184	70200	AraC	b0064	-	[BCE|W|Binding of cellular extracts],[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[CV(SM)|C|cross validation(SM)],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120012320	13
CTFBS45	70195	70213	XylR	b3569	-	[GEA|W|Gene expression analysis],[CV(GEA)|C|cross validation(GEA)],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK125230228	216
CTFBS46	70205	70221	AraC	b0064	-	[BCE|W|Binding of cellular extracts],[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[CV(SM)|C|cross validation(SM)],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120012323	13
CTFBS47	70216	70234	XylR	b3569	-	[GEA|W|Gene expression analysis],[CV(GEA)|C|cross validation(GEA)],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK125230226	216
CTFBS48	70342	70358	AraC	b0064	-	[BCE|W|Binding of cellular extracts],[SM|S|Site mutation],[CV(SM)|C|cross validation(SM)],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins]	Confirmed	TFBS	ECK120012603	13
CTFBS49	77026	77043	Cra	b0080	-	[GEA|W|Gene expression analysis],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[CV(GEA)|S|cross validation(GEA)]	Strong	TFBS	ECK125134869	81
CTFBS50	77297	77330	SgrR	b0069	+	[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[CV(SM)|C|cross validation(SM)],[BPP|S|Binding of purified proteins],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120032163	195
CTFBS51	77297	77330	SgrR	b0069	-	[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[CV(SM)|C|cross validation(SM)],[BPP|S|Binding of purified proteins],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120032163	195
CTFBS52	84000	84091	LrhA	b2289	+	[GEA|W|Gene expression analysis],[BPP|S|Binding of purified proteins]	Strong	TFBS	ECK125258381	119
CTFBS53	84014	84034	LeuO	b0076	+	[GEA|W|Gene expression analysis],[IC|W|Inferred by curator],[CV(GEA/GS)|C|cross validation(GEA/GS)],[CV(GEA)|C|cross validation(GEA)],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins],[GS|W|genomic SELEX],[CV(GEA)|S|cross validation(GEA)],[CV(GEA/GS)|S|cross validation(GEA/GS)]	Confirmed	TFBS	ECK125141936	116
CTFBS54	84014	84034	LeuO	b0076	-	[GEA|W|Gene expression analysis],[IC|W|Inferred by curator],[CV(GEA/GS)|C|cross validation(GEA/GS)],[CV(GEA)|C|cross validation(GEA)],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins],[GS|W|genomic SELEX],[CV(GEA)|S|cross validation(GEA)],[CV(GEA/GS)|S|cross validation(GEA/GS)]	Confirmed	TFBS	ECK125141936	116
CTFBS55	84040	84060	LeuO	b0076	+	[GEA|W|Gene expression analysis],[IC|W|Inferred by curator],[CV(GEA)|C|cross validation(GEA)],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK125141934	116
CTFBS56	84040	84060	LeuO	b0076	-	[GEA|W|Gene expression analysis],[IC|W|Inferred by curator],[CV(GEA)|C|cross validation(GEA)],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK125141934	116
CTFBS57	84057	84068	SlyA	b1642	+	[GEA|W|Gene expression analysis],[CV(GEA)|C|cross validation(GEA)],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK125258571	197
CTFBS58	84065	84076	SlyA	b1642	+	[GEA|W|Gene expression analysis],[CV(GEA)|C|cross validation(GEA)],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK125258510	197
CTFBS59	84085	84099	H-NS	b1237	-	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[CV(GEA)|S|cross validation(GEA)],[GEA|W|Gene expression analysis],[CV(GEA)|C|cross validation(GEA)],[BPP|S|Binding of purified proteins],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[CV(GEA)|S|cross validation(GEA)]	Strong,Confirmed	TFBS	ECK120034474	103
CTFBS60	84099	84119	LeuO	b0076	+	[GEA|W|Gene expression analysis],[IC|W|Inferred by curator],[CV(GEA)|C|cross validation(GEA)],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK125141932	116
CTFBS61	84099	84119	LeuO	b0076	-	[GEA|W|Gene expression analysis],[IC|W|Inferred by curator],[CV(GEA)|C|cross validation(GEA)],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK125141932	116
CTFBS62	84122	84142	LeuO	b0076	+	[GEA|W|Gene expression analysis],[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis],[IC|W|Inferred by curator],[CV(GEA)|C|cross validation(GEA)],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Strong,Confirmed	TFBS	ECK125141924	116
CTFBS63	84122	84142	LeuO	b0076	-	[GEA|W|Gene expression analysis],[BPP|S|Binding of purified proteins]	Strong	TFBS	ECK125141924	116
CTFBS64	84236	84255	RcsB-BglJ	b2217	+	[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[CV(SM)|C|cross validation(SM)],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK125141920	179
CTFBS65	84236	84255	RcsB-BglJ	b4366	+	[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[CV(SM)|C|cross validation(SM)],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK125141920	23
CTFBS66	85341	85355	Lrp	b0889	+	[BCE|W|Binding of cellular extracts],[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[CV(SM)|C|cross validation(SM)],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120012931	120
CTFBS67	85341	85355	Lrp	b0889	-	[BCE|W|Binding of cellular extracts],[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[CV(SM)|C|cross validation(SM)],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120012931	120
CTFBS68	85372	85386	Lrp	b0889	+	[BCE|W|Binding of cellular extracts],[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[CV(SM)|C|cross validation(SM)],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120012933	120
CTFBS69	85372	85386	Lrp	b0889	-	[BCE|W|Binding of cellular extracts],[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[CV(SM)|C|cross validation(SM)],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120012933	120
CTFBS70	85453	85467	Lrp	b0889	+	[BCE|W|Binding of cellular extracts],[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[CV(SM)|C|cross validation(SM)],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120012935	120
CTFBS71	85453	85467	Lrp	b0889	-	[BCE|W|Binding of cellular extracts],[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[CV(SM)|C|cross validation(SM)],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120012935	120
CTFBS72	85488	85502	Lrp	b0889	+	[BCE|W|Binding of cellular extracts],[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[CV(SM)|C|cross validation(SM)],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120012937	120
CTFBS73	85488	85502	Lrp	b0889	-	[BCE|W|Binding of cellular extracts],[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[CV(SM)|C|cross validation(SM)],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120012937	120
CTFBS74	85517	85531	Lrp	b0889	+	[BCE|W|Binding of cellular extracts],[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[CV(SM)|C|cross validation(SM)],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120012939	120
CTFBS75	85517	85531	Lrp	b0889	-	[BCE|W|Binding of cellular extracts],[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[CV(SM)|C|cross validation(SM)],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120012939	120
CTFBS76	85537	85551	Lrp	b0889	+	[BCE|W|Binding of cellular extracts],[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[CV(SM)|C|cross validation(SM)],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120012941	120
CTFBS77	85537	85551	Lrp	b0889	-	[BCE|W|Binding of cellular extracts],[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[CV(SM)|C|cross validation(SM)],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120012941	120
CTFBS78	89546	89562	PdhR	b0113	-	[GEA|W|Gene expression analysis],[CV(GEA)|C|cross validation(GEA)],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK125141274	163
