"Consensus_bnumber"	"Consensus_symbol"	"Consensus_start"	"Consensus_stop"	"Consensus_strand"	"Consensus_TF"	"gene_synonyms"	"product_synonyms"	"RegulonDB_gene_id"	"RegulonDB_symbol"	"RegulonDB_bnumber"	"RegulonDB_strand"	"RegulonDB_type"	"RegulonDB_product_id"	"RegulonDB_product_name"	"RegulonDB_product_type"	"Zika_bnumber"	"Zika_symbol"	"Zika_essentiality"	"Zika_product"	"Zika_strand"	"Zika_type"	"Zika_gene_id"	"RegulonDB_start"	"RegulonDB_stop"	"RegulonDB_TF"	"Zika_start"	"Zika_stop"	"Zika_TF"
"b0019"	"nhaA"	17489	18655	"+"	0	"ant,antA,b0019,ECK0020,ECK120000645,EG10652,hyc,nhaA"	"Ant,AntA,ECK120005121,Hyc,NhaA,NP_414560.1"	"ECK120000645"	"nhaA"	"b0019"	"+"	NA	"ECK120005121"	"Na<sup>+</sup>:H<sup>+</sup> antiporter NhaA"	NA	"b0019"	"nhaA"	NA	"Na(+):H(+) antiporter NhaA"	"+"	"CDS"	"321"	17489	18655	0	17489	18655	NA
"b0020"	"nhaR"	18715	19620	"+"	2	"antO,b0020,ECK0021,ECK120001066,EG11078,nhaR,yaaB"	"AntO,ECK120005542,NhaR,NP_414561.1,YaaB"	"ECK120001066"	"nhaR"	"b0020"	"+"	NA	"ECK120005542"	"DNA-binding transcriptional activator NhaR"	NA	"b0020"	"nhaR"	"non-essential"	"DNA-binding transcriptional activator NhaR"	"+"	"CDS"	"152"	18715	19620	1	18715	19620	1
"b0021"	"insB1"	19811	20314	"-"	0	"b0021,ECK0022,ECK120002705,G6085,insB-1,insB1"	"ECK120007179,InsB1,NP_414562.1"	"ECK120002705"	"insB1"	"b0021"	"-"	NA	"ECK120007179"	"IS1 protein InsB"	NA	"b0021"	"insB-1"	NA	"IS1 protein InsB"	"-"	"CDS"	"322"	19811	20314	0	19811	20314	NA
"ECK120023911"	"insAB1"	19811	20508	"-"	0	"ECK120023911,G0-10535,insAB1,U00096_CDS_19810_20508"	"ECK120023924"	"ECK120023911"	"insAB1"	NA	"-"	NA	"ECK120023924"	"InsAB' transposase"	NA	"U00096_CDS_19810_20508"	"insAB1"	NA	"insAB1"	"-"	"CDS"	"8796"	19811	20508	NA	NA	NA	NA
"b0022"	"insA1"	20233	20508	"-"	0	"b0022,ECK0023,ECK120002706,G6086,insA-1,insA1"	"ECK120007180,InsA1,NP_414563.1"	"ECK120002706"	"insA1"	"b0022"	"-"	NA	"ECK120007180"	"IS1 protein InsA"	NA	"b0022"	"insA-1"	NA	"IS1 protein InsA"	"-"	"CDS"	"323"	20233	20508	0	20233	20508	NA
"b0023"	"rpsT"	20815	21078	"-"	0	"b0023,ECK0024,ECK120000910,EG10919,rpsT,sup(s20),supS,supS20"	"ECK120005386,NP_414564.1,RpsT,SupS"	"ECK120000910"	"rpsT"	"b0023"	"-"	NA	"ECK120005386"	"30S ribosomal subunit protein S20"	NA	"b0023"	"rpsT"	NA	"30S ribosomal subunit protein S20"	"-"	"CDS"	"324"	20815	21078	0	20815	21078	NA
"b0024"	"yaaY"	21181	21399	"+"	0	"b0024,ECK0025,ECK120002707,G6087,yaaY"	"ECK120007181,NP_414565.1,YaaY"	"ECK120002707"	"yaaY"	"b0024"	"+"	NA	"ECK120007181"	"DUF2575 domain-containing protein YaaY"	NA	"b0024"	"yaaY"	NA	"DUF2575 domain-containing protein YaaY"	"+"	"CDS"	"325"	21181	21399	0	21181	21399	NA
"b0025"	"ribF"	21407	22348	"+"	0	"b0025,ECK0026,ECK120001067,EG11079,ribF,yaaC"	"ECK120005543,NP_414566.1,RibF,YaaC"	"ECK120001067"	"ribF"	"b0025"	"+"	NA	"ECK120005543"	"bifunctional riboflavin kinase / FMN adenylyltransferase"	NA	"b0025"	"ribF"	NA	"bifunctional riboflavin kinase/FMN adenylyltransferase"	"+"	"CDS"	"326"	21407	22348	0	21407	22348	NA
"b0026"	"ileS"	22391	25207	"+"	0	"b0026,ECK0027,ECK120000485,EG10492,ileS,ilvS"	"ECK120004961,IleRS,IleS,IlvS,NP_414567.1"	"ECK120000485"	"ileS"	"b0026"	"+"	NA	"ECK120004961"	"isoleucine&mdash;tRNA ligase"	NA	"b0026"	"ileS"	NA	"isoleucine--tRNA ligase"	"+"	"CDS"	"327"	22391	25207	0	22391	25207	NA
"b0027"	"lspA"	25207	25701	"+"	0	"b0027,ECK0028,ECK120000541,EG10548,lsp,lspA"	"diacylglycerol prolipoprotein signal peptidase,ECK120005017,leader peptidase II,Lsp,LspA,NP_414568.1,premurein-leader peptidase,prolipoprotein signal peptidase,signal peptidase II,SPase II"	"ECK120000541"	"lspA"	"b0027"	"+"	NA	"ECK120005017"	"lipoprotein signal peptidase"	NA	"b0027"	"lspA"	NA	"lipoprotein signal peptidase"	"+"	"CDS"	"328"	25207	25701	0	25207	25701	NA
"b0028"	"fkpB"	25826	26275	"+"	0	"b0028,ECK0029,ECK120001068,EG11080,fkpB,slpA,yaaD"	"ECK120005544,FkpB,NP_414569.1,SlpA,YaaD"	"ECK120001068"	"fkpB"	"b0028"	"+"	NA	"ECK120005544"	"peptidyl-prolyl <i>cis-trans</i> isomerase FkpB"	NA	"b0028"	"fkpB"	NA	"peptidyl-prolyl cis-trans isomerase FkpB"	"+"	"CDS"	"329"	25826	26275	0	25826	26275	NA
"b0029"	"ispH"	26277	27227	"+"	0	"b0029,ECK0030,ECK120001069,EG11081,ispH,lytB,yaaE"	"ECK120005545,IspH,LytB,NP_414570.1,YaaE"	"ECK120001069"	"ispH"	"b0029"	"+"	NA	"ECK120005545"	"1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase"	NA	"b0029"	"ispH"	NA	"1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase"	"+"	"CDS"	"330"	26277	27227	0	26277	27227	NA
"b0030"	"rihC"	27293	28207	"+"	0	"b0030,ECK0031,ECK120001070,EG11082,rihC,yaaF"	"ECK120005546,NP_414571.1,ribonucleoside hydrolase 3,RihC,YaaF"	"ECK120001070"	"rihC"	"b0030"	"+"	NA	"ECK120005546"	"ribonucleoside hydrolase RihC"	NA	"b0030"	"rihC"	NA	"ribonucleoside hydrolase RihC"	"+"	"CDS"	"331"	27293	28207	0	27293	28207	NA
"b0031"	"dapB"	28374	29195	"+"	0	"b0031,dapB,ECK0032,ECK120000200,EG10206"	"DapB,DHPR,dihydrodipicolinate reductase,ECK120004676,NP_414572.1"	"ECK120000200"	"dapB"	"b0031"	"+"	NA	"ECK120004676"	"4-hydroxy-tetrahydrodipicolinate reductase"	NA	"b0031"	"dapB"	NA	"4-hydroxy-tetrahydrodipicolinate reductase"	"+"	"CDS"	"332"	28374	29195	0	28374	29195	NA
"ECK125203390"	"nc9"	28509	28620	"+"	0	"ECK125203390,nc9,U00096_ncRNA_28508_28620"	"ECK125203391,trans-encoded antisense RNA"	"ECK125203390"	"nc9"	NA	"+"	NA	"ECK125203391"	"Nc9"	"small RNA"	"U00096_ncRNA_28508_28620"	"nc9"	NA	"nc9"	"+"	"ncRNA"	"8797"	28509	28620	NA	NA	NA	NA
"b0032"	"carA"	29651	30799	"+"	0	"arg,b0032,cap,carA,ECK0033,ECK120000130,EG10134,pyrA"	" &alpha; chain,&alpha; chain,Arg,Cap,CarA,carbamoyl phosphate synthetase,ECK120004606,NP_414573.1,PyrA,small chain"	"ECK120000130"	"carA"	"b0032"	"+"	NA	"ECK120004606"	"carbamoyl phosphate synthetase subunit &alpha;"	NA	"b0032"	"carA"	NA	"carbamoyl phosphate synthetase subunit alpha"	"+"	"CDS"	"333"	29651	30799	0	29651	30799	NA
"b0033"	"carB"	30817	34038	"+"	0	"b0033,cap,carB,ECK0034,ECK120000131,EG10135,pyrA"	" &beta; chain,&beta; chain,Cap,CarB,carbamoyl phosphate synthetase,ECK120004607,large chain,NP_414574.1,PyrA"	"ECK120000131"	"carB"	"b0033"	"+"	NA	"ECK120004607"	"carbamoyl phosphate synthetase subunit &beta;"	NA	"b0033"	"carB"	NA	"carbamoyl phosphate synthetase subunit beta"	"+"	"CDS"	"334"	30817	34038	0	30817	34038	NA
"b0034"	"caiF"	34300	34695	"+"	2	"b0034,caiF,ECK0035,ECK120002708,G6088"	"CaiF,ECK120007182,NP_414576.4"	"ECK120002708"	"caiF"	"b0034"	"+"	NA	"ECK120007182"	"DNA-binding transcriptional activator CaiF"	NA	"b0034"	"caiF"	"non-essential"	"DNA-binding transcriptional activator CaiF"	"+"	"CDS"	"27"	34300	34695	1	34300	34695	1
"b0035"	"caiE"	34781	35371	"-"	0	"b0035,caiE,ECK0036,ECK120002330,EG12608"	"CaiE,ECK120006805,NP_414577.2"	"ECK120002330"	"caiE"	"b0035"	"-"	NA	"ECK120006805"	"putative transferase CaiE"	NA	"b0035"	"caiE"	NA	"putative transferase CaiE"	"-"	"CDS"	"335"	34781	35371	0	34781	35371	NA
"b0036"	"caiD"	35377	36162	"-"	0	"b0036,caiD,ECK0037,ECK120001510,EG11557,yaaL"	"CaiD,ECK120005986,NP_414578.2,YaaL"	"ECK120001510"	"caiD"	"b0036"	"-"	NA	"ECK120005986"	"crotonobetainyl-CoA hydratase"	NA	"b0036"	"caiD"	NA	"crotonobetainyl-CoA hydratase"	"-"	"CDS"	"336"	35377	36162	0	35377	36162	NA
"b0037"	"caiC"	36271	37824	"-"	0	"b0037,caiC,ECK0038,ECK120001511,EG11558,yaaM"	"CaiC,ECK120005987,NP_414579.4,YaaM"	"ECK120001511"	"caiC"	"b0037"	"-"	NA	"ECK120005987"	"carnitine&mdash;CoA ligase"	NA	"b0037"	"caiC"	NA	"carnitine-CoA ligase"	"-"	"CDS"	"337"	36271	37824	0	36271	37824	NA
"b0038"	"caiB"	37898	39115	"-"	0	"b0038,caiB,ECK0039,ECK120001512,EG11559,yaaN"	"CaiB,ECK120005988,NP_414580.1,YaaN"	"ECK120001512"	"caiB"	"b0038"	"-"	NA	"ECK120005988"	"&gamma;-butyrobetainyl-CoA:carnitine CoA transferase"	NA	"b0038"	"caiB"	NA	"gamma-butyrobetainyl-CoA:carnitine CoA transferase"	"-"	"CDS"	"338"	37898	39115	0	37898	39115	NA
"b0039"	"caiA"	39244	40386	"-"	0	"b0039,caiA,ECK0040,ECK120001513,EG11560,yaaO"	"CaiA,ECK120005989,NP_414581.1,YaaO"	"ECK120001513"	"caiA"	"b0039"	"-"	NA	"ECK120005989"	"crotonobetainyl-CoA reductase"	NA	"b0039"	"caiA"	NA	"crotonobetainyl-CoA reductase"	"-"	"CDS"	"339"	39244	40386	0	39244	40386	NA
"b0040"	"caiT"	40417	41931	"-"	0	"b0040,caiT,ECK0041,ECK120001514,EG11561,yaaP"	"CaiT,ECK120005990,NP_414582.1,YaaP"	"ECK120001514"	"caiT"	"b0040"	"-"	NA	"ECK120005990"	"L-carnitine:&gamma;-butyrobetaine antiporter"	NA	"b0040"	"caiT"	NA	"L-carnitine:gamma-butyrobetaine antiporter"	"-"	"CDS"	"340"	40417	41931	0	40417	41931	NA
"b0041"	"fixA"	42403	43173	"+"	0	"b0041,ECK0042,ECK120001515,EG11562,fixA,yaaQ"	" ETFP adenine nucleotide-binding domain,ECK120005991,FixA,NP_414583.2,putative electron transfer flavoprotein subunit,YaaQ"	"ECK120001515"	"fixA"	"b0041"	"+"	NA	"ECK120005991"	"putative electron transfer flavoprotein FixA"	NA	"b0041"	"fixA"	NA	"putative electron transfer flavoprotein FixA"	"+"	"CDS"	"341"	42403	43173	0	42403	43173	NA
"b0042"	"fixB"	43188	44129	"+"	0	"b0042,ECK0043,ECK120001516,EG11563,fixB,yaaR"	" NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like,ECK120005992,FixB,NP_414584.1,putative electron transfer flavoprotein,YaaR"	"ECK120001516"	"fixB"	"b0042"	"+"	NA	"ECK120005992"	"putative electron transfer flavoprotein FixB"	NA	"b0042"	"fixB"	NA	"putative electron transfer flavoprotein FixB"	"+"	"CDS"	"342"	43188	44129	0	43188	44129	NA
"b0043"	"fixC"	44180	45466	"+"	0	"b0043,ECK0044,ECK120001517,EG11564,fixC,yaaS"	" possibly involved in anaerobic carnitine metabolism,ECK120005993,FixC,flavoprotein (electron transport),NP_414585.1,YaaS"	"ECK120001517"	"fixC"	"b0043"	"+"	NA	"ECK120005993"	"putative oxidoreductase FixC"	NA	"b0043"	"fixC"	NA	"putative oxidoreductase FixC"	"+"	"CDS"	"343"	44180	45466	0	44180	45466	NA
"b0044"	"fixX"	45463	45750	"+"	0	"b0044,ECK0045,ECK120001518,EG11565,fixX,yaaT"	"ECK120005994,FixX,NP_414586.1,putative ferredoxin possibly involved in anaerobic carnitine metabolism,YaaT"	"ECK120001518"	"fixX"	"b0044"	"+"	NA	"ECK120005994"	"putative ferredoxin FixX"	NA	"b0044"	"fixX"	NA	"putative ferredoxin FixX"	"+"	"CDS"	"344"	45463	45750	0	45463	45750	NA
"b0045"	"yaaU"	45807	47138	"+"	0	"b0045,ECK0046,ECK120001519,EG11566,yaaU,yabE"	"ECK120005995,NP_414587.1,YaaU,YabE"	"ECK120001519"	"yaaU"	"b0045"	"+"	NA	"ECK120005995"	"putative transporter YaaU"	NA	"b0045"	"yaaU"	NA	"putative transporter YaaU"	"+"	"CDS"	"345"	45807	47138	0	45807	47138	NA
"b0046"	"kefF"	47246	47776	"+"	0	"b0046,ECK0047,ECK120001520,EG11568,kefF,yabF"	"ECK120005996,KefF,NP_414588.1,YabF"	"ECK120001520"	"kefF"	"b0046"	"+"	NA	"ECK120005996"	"regulator of KefC-mediated potassium transport and quinone oxidoreductase"	NA	"b0046"	"kefF"	NA	"regulator of KefC-mediated potassium transport and quinone oxidoreductase"	"+"	"CDS"	"346"	47246	47776	0	47246	47776	NA
"b0047"	"kefC"	47769	49631	"+"	0	"b0047,ECK0048,ECK120000514,EG10521,kefC,trkC"	"ECK120004990,KefC,NP_414589.1,TrkC"	"ECK120000514"	"kefC"	"b0047"	"+"	NA	"ECK120004990"	"K<sup>+</sup> : H<sup>+</sup> antiporter KefC"	NA	"b0047"	"kefC"	NA	"K(+) : H(+) antiporter KefC"	"+"	"CDS"	"347"	47769	49631	0	47769	49631	NA
"b0048"	"folA"	49823	50302	"+"	0	"b0048,ECK0049,ECK120000320,EG10326,folA,tmr,tmrA"	"ECK120004796,FolA,NP_414590.1,Tmr,TmrA"	"ECK120000320"	"folA"	"b0048"	"+"	NA	"ECK120004796"	"dihydrofolate reductase"	NA	"b0048"	"folA"	NA	"dihydrofolate reductase"	"+"	"CDS"	"348"	49823	50302	0	49823	50302	NA
"b0049"	"apaH"	50380	51222	"-"	0	"apaH,b0049,cfcB,ECK0050,ECK120000044,EG10048"	"ApaH,CfcB,ECK120004520,NP_414591.1"	"ECK120000044"	"apaH"	"b0049"	"-"	NA	"ECK120004520"	"diadenosine tetraphosphatase"	NA	"b0049"	"apaH"	NA	"diadenosine tetraphosphatase"	"-"	"CDS"	"349"	50380	51222	0	50380	51222	NA
"b0050"	"apaG"	51229	51606	"-"	0	"apaG,b0050,ECK0051,ECK120000043,EG10047"	"ApaG,ECK120004519,NP_414592.1"	"ECK120000043"	"apaG"	"b0050"	"-"	NA	"ECK120004519"	"DUF525 domain-containing protein ApaG"	NA	"b0050"	"apaG"	NA	"DUF525 domain-containing protein ApaG"	"-"	"CDS"	"350"	51229	51606	0	51229	51606	NA
"b0051"	"rsmA"	51609	52430	"-"	0	"b0051,ECK0052,ECK120000516,EG10523,ksgA,rsmA"	"ECK120004992,KsgA,NP_414593.1,ribosomal RNA small subunit methyltransferase A,rRNA small subunit methyltransferase A,RsmA"	"ECK120000516"	"rsmA"	"b0051"	"-"	NA	"ECK120004992"	"16S rRNA m<sup>6</sup><sub>2</sub>A1518,m<sup>6</sup><sub>2</sub>A1519 dimethyltransferase"	NA	"b0051"	"rsmA"	NA	"16S rRNA m(6)2A1518,m(6)2A1519 dimethyltransferase"	"-"	"CDS"	"351"	51609	52430	0	51609	52430	NA
"b0052"	"pdxA"	52427	53416	"-"	0	"b0052,ECK0053,ECK120000684,EG10691,pdxA"	"ECK120005160,NP_414594.1,PdxA"	"ECK120000684"	"pdxA"	"b0052"	"-"	NA	"ECK120005160"	"4-hydroxythreonine-4-phosphate dehydrogenase"	NA	"b0052"	"pdxA"	NA	"4-hydroxythreonine-4-phosphate dehydrogenase"	"-"	"CDS"	"352"	52427	53416	0	52427	53416	NA
"b0053"	"surA"	53416	54702	"-"	0	"b0053,ECK0054,ECK120000974,EG10985,surA"	"ECK120005450,NP_414595.1,PPIase,SurA"	"ECK120000974"	"surA"	"b0053"	"-"	NA	"ECK120005450"	"peptidyl-prolyl <i>cis-trans</i> isomerase SurA"	NA	"b0053"	"surA"	NA	"peptidyl-prolyl cis-trans isomerase SurA"	"-"	"CDS"	"353"	53416	54702	0	53416	54702	NA
"b0054"	"lptD"	54755	57109	"-"	0	"b0054,ECK0055,ECK120001521,EG11569,imp,lptD,ostA,yabG"	"ECK120005997,Imp,LptD,NP_414596.1,OstA,YabG"	"ECK120001521"	"lptD"	"b0054"	"-"	NA	"ECK120005997"	"lipopolysaccharide assembly protein LptD"	NA	"b0054"	"lptD"	NA	"lipopolysaccharide assembly protein LptD"	"-"	"CDS"	"354"	54755	57109	0	54755	57109	NA
"b0055"	"djlA"	57364	58179	"+"	0	"b0055,djlA,ECK0056,ECK120001522,EG11570,yabH"	"DjlA,ECK120005998,NP_414597.1,YabH"	"ECK120001522"	"djlA"	"b0055"	"+"	NA	"ECK120005998"	"co-chaperone protein DjlA"	NA	"b0055"	"djlA"	NA	"co-chaperone protein DjlA"	"+"	"CDS"	"355"	57364	58179	0	57364	58179	NA
"b0056"	"yabP"	58474	59124	"+"	0	"b0056,b4659,ECK0057,ECK120002332,EG12610,yabP"	"ECK120006807,YabP"	"ECK120002332"	"yabP"	"b0056"	"+"	NA	"ECK120006807"	"putative uncharacterized protein YabP"	NA	"b0056"	"yabP"	NA	"putative uncharacterized protein YabP"	"+"	"CDS"	"8202"	58474	59124	0	58474	59124	NA
"b0057"	"yabQ"	59121	59279	"+"	0	"b0057,b4659,ECK0058,ECK120002333,EG12611,yabQ"	"ECK120006808,YabQ"	"ECK120002333"	"yabQ"	"b0057"	"+"	NA	"ECK120006808"	"protein YabQ"	NA	"b0057"	"yabQ"	NA	"protein YabQ"	"+"	"CDS"	"8197"	59121	59279	0	59121	59279	0
