promoter_id	start	stop	strand	type
CPROM200	28147	28147	+	Promoter
CPROM201	28165	28165	+	Promoter
CPROM202	28287	28288	+	Promoter
CPROM203	28293	28293	+	Promoter
CPROM204	28342	28343	+	Promoter
CPROM205	29030	29034	+	Promoter
CPROM206	29062	29062	+	Promoter
CPROM207	29129	29129	+	Promoter
CPROM208	29483	29483	-	Promoter
CPROM209	29550	29555	+	Promoter
CPROM210	29619	29620	+	Promoter
CPROM211	29767	29767	-	Promoter
CPROM212	30344	30344	+	Promoter
CPROM213	31586	31586	-	Promoter
CPROM214	31596	31596	+	Promoter
CPROM215	31603	31603	+	Promoter
CPROM216	32607	32607	-	Promoter
CPROM217	34027	34027	-	Promoter
CPROM218	34045	34045	+	Promoter
CPROM219	34216	34218	+	Promoter
CPROM220	34489	34492	+	Promoter
CPROM221	34503	34503	+	Promoter
CPROM222	34705	34705	+	Promoter
CPROM223	34756	34756	+	Promoter
CPROM224	34907	34907	+	Promoter
CPROM225	34913	34913	-	Promoter
CPROM226	36161	36161	+	Promoter
CPROM227	37454	37454	-	Promoter
CPROM228	37479	37479	+	Promoter
CPROM229	38400	38400	-	Promoter
CPROM230	39507	39507	-	Promoter
CPROM231	39939	39939	-	Promoter
CPROM232	39952	39952	+	Promoter
CPROM233	40935	40935	-	Promoter
CPROM234	40941	40941	-	Promoter
CPROM235	41205	41205	-	Promoter
CPROM236	41748	41748	-	Promoter
CPROM237	42037	42037	-	Promoter
CPROM238	42324	42325	+	Promoter
CPROM239	42510	42510	+	Promoter
CPROM240	44059	44061	+	Promoter
CPROM241	45860	45860	+	Promoter
CPROM242	46052	46052	+	Promoter
CPROM243	46141	46141	-	Promoter
CPROM244	46988	46988	-	Promoter
CPROM245	47181	47181	+	Promoter
CPROM246	47211	47215	+	Promoter
CPROM247	47257	47257	+	Promoter
CPROM248	47815	47815	-	Promoter
CPROM249	47965	47965	-	Promoter
CPROM250	48927	48927	+	Promoter
CPROM251	49104	49104	+	Promoter
CPROM252	49116	49116	+	Promoter
CPROM253	49238	49238	-	Promoter
CPROM254	49788	49788	+	Promoter
CPROM255	49798	49799	+	Promoter
CPROM256	50322	50322	+	Promoter
CPROM257	50459	50459	-	Promoter
CPROM258	50477	50477	+	Promoter
CPROM259	50556	50556	-	Promoter
CPROM260	50573	50573	+	Promoter
CPROM261	51193	51193	+	Promoter
CPROM262	51949	51950	-	Promoter
CPROM263	51998	51998	-	Promoter
CPROM264	52034	52036	-	Promoter
CPROM265	52194	52194	-	Promoter
CPROM266	52478	52478	-	Promoter
CPROM267	52548	52548	-	Promoter
CPROM268	52587	52588	-	Promoter
CPROM269	53090	53090	-	Promoter
CPROM270	53139	53139	+	Promoter
CPROM271	53776	53776	-	Promoter
CPROM272	53824	53824	-	Promoter
CPROM273	53904	53904	-	Promoter
CPROM274	53905	53905	+	Promoter
CPROM275	54275	54275	-	Promoter
CPROM276	54363	54363	-	Promoter
CPROM277	54605	54605	-	Promoter
CPROM278	54746	54746	-	Promoter
CPROM279	54754	54754	-	Promoter
CPROM280	54762	54765	-	Promoter
CPROM281	54788	54788	+	Promoter
CPROM282	54884	54884	-	Promoter
CPROM283	54995	54995	+	Promoter
CPROM284	55120	55120	-	Promoter
CPROM285	55146	55146	-	Promoter
CPROM286	55210	55210	-	Promoter
CPROM287	55306	55306	-	Promoter
CPROM288	55337	55337	+	Promoter
CPROM289	55358	55358	-	Promoter
CPROM290	55399	55399	-	Promoter
CPROM291	55785	55785	-	Promoter
CPROM292	55791	55791	-	Promoter
CPROM293	55800	55800	-	Promoter
CPROM294	55889	55889	+	Promoter
CPROM295	55908	55908	-	Promoter
CPROM296	55916	55920	-	Promoter
CPROM297	56036	56036	-	Promoter
CPROM298	56380	56380	+	Promoter
CPROM299	56466	56466	-	Promoter
CPROM300	56611	56611	-	Promoter
CPROM301	56724	56724	-	Promoter
CPROM302	56888	56888	+	Promoter
CPROM303	57150	57150	+	Promoter
CPROM304	57156	57156	-	Promoter
CPROM305	57197	57197	+	Promoter
CPROM306	57203	57203	+	Promoter
CPROM307	57241	57242	-	Promoter
CPROM308	57253	57253	-	Promoter
CPROM309	57258	57261	+	Promoter
CPROM310	57311	57311	-	Promoter
CPROM311	57336	57336	-	Promoter
CPROM312	57492	57492	+	Promoter
CPROM313	58358	58358	-	Promoter
CPROM314	58482	58482	+	Promoter
CPROM315	58726	58726	-	Promoter
CPROM316	58734	58734	-	Promoter
CPROM317	58744	58744	-	Promoter
CPROM318	58773	58773	+	Promoter
CPROM319	58890	58890	+	Promoter
CPROM320	58907	58907	+	Promoter
CPROM321	58916	58916	+	Promoter
CPROM322	58931	58933	+	Promoter
CPROM323	58946	58946	+	Promoter
CPROM324	59025	59025	+	Promoter
CPROM325	59042	59042	+	Promoter
CPROM326	59055	59055	+	Promoter
CPROM327	59069	59069	+	Promoter
CPROM328	59150	59150	-	Promoter
CPROM329	59295	59295	+	Promoter
CPROM330	59499	59499	+	Promoter
CPROM331	59728	59728	+	Promoter
CPROM332	60268	60268	-	Promoter
CPROM333	60594	60595	-	Promoter
CPROM334	61083	61083	-	Promoter
CPROM335	61281	61281	+	Promoter
CPROM336	61379	61379	+	Promoter
CPROM337	61477	61477	+	Promoter
CPROM338	61897	61897	-	Promoter
CPROM339	62659	62659	+	Promoter
CPROM340	62712	62712	-	Promoter
CPROM341	62992	62992	-	Promoter
CPROM342	63074	63074	-	Promoter
CPROM343	63091	63091	+	Promoter
CPROM344	63181	63181	+	Promoter
CPROM345	63245	63245	-	Promoter
CPROM346	63356	63358	-	Promoter
CPROM347	63403	63403	-	Promoter
CPROM348	63450	63450	-	Promoter
CPROM349	63588	63588	-	Promoter
CPROM350	64188	64188	+	Promoter
CPROM351	64514	64514	-	Promoter
CPROM352	64720	64720	-	Promoter
CPROM353	64745	64745	+	Promoter
CPROM354	65803	65803	-	Promoter
CPROM355	65946	65946	-	Promoter
CPROM356	66113	66113	+	Promoter
CPROM357	66552	66552	-	Promoter
CPROM358	66557	66557	+	Promoter
CPROM359	66588	66588	+	Promoter
CPROM360	66867	66867	+	Promoter
CPROM361	67171	67171	+	Promoter
CPROM362	67616	67616	-	Promoter
CPROM363	67777	67777	-	Promoter
CPROM364	68654	68654	+	Promoter
CPROM365	70075	70077	-	Promoter
CPROM366	70220	70223	+	Promoter
CPROM367	70387	70387	+	Promoter
CPROM368	70531	70531	+	Promoter
CPROM369	70974	70974	-	Promoter
CPROM370	71086	71086	+	Promoter
CPROM371	71127	71127	+	Promoter
CPROM372	71270	71271	+	Promoter
CPROM373	71292	71295	+	Promoter
CPROM374	71315	71315	+	Promoter
CPROM375	71329	71329	+	Promoter
CPROM376	71341	71341	-	Promoter
CPROM377	71795	71795	+	Promoter
CPROM378	72227	72227	-	Promoter
CPROM379	73803	73803	-	Promoter
CPROM380	75126	75126	+	Promoter
CPROM381	75518	75518	-	Promoter
CPROM382	75538	75538	-	Promoter
CPROM383	75559	75559	-	Promoter
CPROM384	75608	75608	-	Promoter
CPROM385	75747	75747	-	Promoter
CPROM386	75765	75765	+	Promoter
CPROM387	75864	75864	-	Promoter
CPROM388	75958	75958	-	Promoter
CPROM389	75969	75969	-	Promoter
CPROM390	76047	76047	+	Promoter
CPROM391	77336	77339	-	Promoter
CPROM392	77367	77367	+	Promoter
CPROM393	77403	77403	-	Promoter
CPROM394	77418	77418	+	Promoter
CPROM395	77438	77438	+	Promoter
CPROM396	77474	77474	+	Promoter
CPROM397	77483	77483	+	Promoter
CPROM398	77510	77510	+	Promoter
CPROM399	77516	77516	+	Promoter
CPROM400	77525	77525	+	Promoter
CPROM401	77546	77546	+	Promoter
CPROM402	77565	77565	-	Promoter
CPROM403	77566	77567	+	Promoter
CPROM404	77619	77619	+	Promoter
CPROM405	77910	77910	+	Promoter
CPROM406	77915	77915	+	Promoter
CPROM407	78203	78203	+	Promoter
CPROM408	78269	78269	+	Promoter
CPROM409	78332	78332	+	Promoter
CPROM410	78491	78491	-	Promoter
CPROM411	78612	78612	+	Promoter
CPROM412	78781	78781	+	Promoter
CPROM413	79156	79156	-	Promoter
CPROM414	79281	79281	-	Promoter
CPROM415	79386	79386	-	Promoter
CPROM416	79676	79676	-	Promoter
CPROM417	79955	79955	-	Promoter
CPROM418	80236	80236	-	Promoter
CPROM419	80331	80331	+	Promoter
CPROM420	80442	80442	-	Promoter
CPROM421	80589	80589	-	Promoter
CPROM422	80600	80600	-	Promoter
CPROM423	80670	80670	-	Promoter
CPROM424	81214	81214	-	Promoter
CPROM425	81342	81342	-	Promoter
CPROM426	81440	81440	-	Promoter
CPROM427	81452	81452	-	Promoter
CPROM428	81559	81559	-	Promoter
CPROM429	82035	82035	-	Promoter
CPROM430	82058	82058	-	Promoter
CPROM431	82082	82082	-	Promoter
CPROM432	82123	82123	-	Promoter
CPROM433	82207	82207	-	Promoter
CPROM434	82216	82216	+	Promoter
CPROM435	82255	82255	-	Promoter
CPROM436	82361	82361	-	Promoter
CPROM437	82467	82467	-	Promoter
CPROM438	82593	82593	-	Promoter
CPROM439	82645	82645	+	Promoter
CPROM440	82671	82671	-	Promoter
CPROM441	82704	82704	-	Promoter
CPROM442	83028	83034	-	Promoter
CPROM443	83349	83349	-	Promoter
CPROM444	83570	83570	-	Promoter
CPROM445	83581	83581	-	Promoter
CPROM446	83668	83668	-	Promoter
CPROM447	83675	83675	-	Promoter
CPROM448	83674	83674	+	Promoter
CPROM449	83699	83699	-	Promoter
CPROM450	83728	83728	-	Promoter
CPROM451	83735	83743	-	Promoter
CPROM452	83745	83745	+	Promoter
CPROM453	83882	83882	+	Promoter
CPROM454	83894	83898	-	Promoter
CPROM455	84024	84024	-	Promoter
CPROM456	84154	84155	+	Promoter
CPROM457	84188	84188	+	Promoter
CPROM458	84298	84304	+	Promoter
CPROM459	84770	84770	+	Promoter
CPROM460	84808	84808	+	Promoter
CPROM461	84891	84891	-	Promoter
CPROM462	84903	84903	-	Promoter
CPROM463	85049	85050	+	Promoter
CPROM464	85192	85192	+	Promoter
CPROM465	85270	85270	-	Promoter
CPROM466	85420	85420	+	Promoter
CPROM467	85453	85453	+	Promoter
CPROM468	85537	85540	+	Promoter
CPROM469	85598	85600	+	Promoter
CPROM470	85605	85605	+	Promoter
CPROM471	85756	85756	+	Promoter
CPROM472	85946	85946	-	Promoter
CPROM473	85969	85969	+	Promoter
CPROM474	86542	86542	+	Promoter
CPROM475	86559	86559	+	Promoter
CPROM476	86713	86713	-	Promoter
CPROM477	87347	87347	-	Promoter
CPROM478	87358	87358	-	Promoter
CPROM479	87475	87475	-	Promoter
CPROM480	87478	87478	+	Promoter
CPROM481	87733	87733	+	Promoter
CPROM482	87847	87847	+	Promoter
CPROM483	87962	87962	-	Promoter
CPROM484	87968	87969	+	Promoter
CPROM485	89040	89040	+	Promoter
CPROM486	89143	89143	+	Promoter
CPROM487	89360	89361	+	Promoter
CPROM488	89370	89370	-	Promoter
CPROM489	89588	89591	+	Promoter
CPROM490	89596	89596	+	Promoter
CPROM491	89683	89683	+	Promoter
CPROM492	89701	89701	+	Promoter
CPROM493	89741	89741	+	Promoter
CPROM494	89954	89954	+	Promoter
CPROM495	90010	90010	+	Promoter
CPROM496	90037	90037	+	Promoter
CPROM497	90107	90107	-	Promoter
CPROM498	90327	90327	+	Promoter
CPROM499	90367	90367	+	Promoter
CPROM500	90688	90688	+	Promoter
CPROM501	90828	90828	-	Promoter
CPROM502	91012	91012	+	Promoter
CPROM503	91371	91371	-	Promoter
CPROM504	91458	91458	-	Promoter
CPROM505	91542	91542	-	Promoter
CPROM506	92250	92250	-	Promoter
CPROM507	92485	92485	+	Promoter
CPROM508	92677	92677	-	Promoter
CPROM509	92933	92933	-	Promoter
CPROM510	93083	93083	+	Promoter
CPROM511	94447	94447	+	Promoter
CPROM512	94564	94564	-	Promoter
CPROM513	94608	94608	+	Promoter
CPROM514	94681	94681	+	Promoter
CPROM515	95826	95826	-	Promoter
CPROM516	95947	95947	+	Promoter
CPROM517	96105	96105	-	Promoter
CPROM518	96153	96153	+	Promoter
CPROM519	96971	96971	+	Promoter
CPROM520	96982	96988	+	Promoter
CPROM521	96993	96997	+	Promoter
CPROM522	97215	97215	-	Promoter
CPROM523	97337	97337	+	Promoter
CPROM524	97532	97532	+	Promoter
CPROM525	97539	97539	+	Promoter
CPROM526	97550	97550	+	Promoter
CPROM527	97663	97663	-	Promoter
CPROM528	97673	97673	+	Promoter
CPROM529	98454	98454	+	Promoter
CPROM530	98594	98594	+	Promoter
CPROM531	98742	98742	+	Promoter
CPROM532	99370	99370	+	Promoter
CPROM533	99588	99588	-	Promoter
CPROM534	99587	99587	+	Promoter
CPROM535	100621	100621	+	Promoter
CPROM536	100883	100883	-	Promoter
CPROM537	101724	101724	+	Promoter
CPROM538	102049	102049	+	Promoter
CPROM539	102454	102454	+	Promoter
CPROM540	102532	102533	+	Promoter
CPROM541	102679	102679	+	Promoter
CPROM542	102693	102693	-	Promoter
CPROM543	102742	102743	+	Promoter
CPROM544	102865	102867	+	Promoter
CPROM545	102872	102872	+	Promoter
CPROM546	102974	102974	+	Promoter
CPROM547	103019	103019	+	Promoter
CPROM548	103024	103028	+	Promoter
CPROM549	103133	103137	+	Promoter
CPROM550	103560	103561	+	Promoter
CPROM551	103608	103608	+	Promoter
CPROM552	103764	103764	-	Promoter
CPROM553	103889	103889	+	Promoter
CPROM554	103960	103960	+	Promoter
CPROM555	104188	104188	+	Promoter
CPROM556	104265	104265	+	Promoter
CPROM557	104305	104305	+	Promoter
CPROM558	104537	104537	+	Promoter
CPROM559	104565	104565	+	Promoter
CPROM560	104635	104636	+	Promoter
CPROM561	104675	104675	+	Promoter
CPROM562	104692	104693	+	Promoter
CPROM563	104726	104726	+	Promoter
CPROM564	105045	105047	+	Promoter
CPROM565	105087	105087	+	Promoter
CPROM566	105093	105093	+	Promoter
CPROM567	105118	105118	+	Promoter
CPROM568	105143	105143	-	Promoter
CPROM569	105161	105161	+	Promoter
CPROM570	105291	105291	+	Promoter
CPROM571	105669	105669	+	Promoter
CPROM572	105677	105677	+	Promoter
CPROM573	105795	105795	-	Promoter
CPROM574	105816	105816	+	Promoter
CPROM575	105921	105921	+	Promoter
CPROM576	106437	106437	-	Promoter
CPROM577	106502	106508	+	Promoter
CPROM578	106528	106530	+	Promoter
CPROM579	106561	106561	+	Promoter
CPROM580	106746	106746	+	Promoter
CPROM581	106757	106757	-	Promoter
CPROM582	106831	106831	+	Promoter
CPROM583	106940	106940	+	Promoter
CPROM584	107306	107306	-	Promoter
CPROM585	107373	107373	+	Promoter
CPROM586	107475	107475	-	Promoter
CPROM587	107603	107603	+	Promoter
CPROM588	107645	107645	-	Promoter
CPROM589	107667	107668	+	Promoter
CPROM590	107944	107945	-	Promoter
CPROM591	108025	108025	+	Promoter
CPROM592	108116	108116	-	Promoter
CPROM593	108125	108125	-	Promoter
CPROM594	108134	108134	+	Promoter
CPROM595	108213	108213	-	Promoter
CPROM596	108263	108263	-	Promoter
CPROM597	108703	108703	+	Promoter
CPROM598	108722	108722	+	Promoter
CPROM599	108821	108821	+	Promoter
CPROM600	108894	108894	+	Promoter
CPROM601	109010	109010	+	Promoter
CPROM602	109037	109037	+	Promoter
CPROM603	109101	109101	+	Promoter
CPROM604	109106	109106	+	Promoter
CPROM605	109414	109414	+	Promoter
CPROM606	109478	109478	+	Promoter
CPROM607	110105	110105	+	Promoter
CPROM608	110229	110232	+	Promoter
CPROM609	110273	110273	+	Promoter
CPROM610	110296	110296	+	Promoter
CPROM611	110304	110304	+	Promoter
CPROM612	110313	110313	+	Promoter
CPROM613	110324	110327	+	Promoter
CPROM614	110338	110340	+	Promoter
CPROM615	110345	110345	-	Promoter
CPROM616	110405	110405	+	Promoter
CPROM617	110667	110671	+	Promoter
CPROM618	110684	110694	+	Promoter
CPROM619	110709	110709	+	Promoter
CPROM620	110745	110745	+	Promoter
CPROM621	111063	111063	-	Promoter
CPROM622	111148	111148	+	Promoter
CPROM623	111293	111293	+	Promoter
CPROM624	111828	111828	-	Promoter
CPROM625	112251	112251	-	Promoter
CPROM626	112273	112273	-	Promoter
CPROM627	112599	112599	-	Promoter
CPROM628	112607	112609	-	Promoter
CPROM629	112617	112617	-	Promoter
CPROM630	112688	112688	-	Promoter
CPROM631	112696	112696	-	Promoter
CPROM632	112703	112703	-	Promoter
CPROM633	113199	113199	-	Promoter
CPROM634	113311	113311	-	Promoter
CPROM635	113322	113322	-	Promoter
CPROM636	113394	113399	+	Promoter
CPROM637	113801	113801	-	Promoter
CPROM638	113975	113975	+	Promoter
CPROM639	114576	114576	-	Promoter
CPROM640	114768	114768	+	Promoter
CPROM641	114880	114880	-	Promoter
CPROM642	114990	114990	-	Promoter
CPROM643	115647	115647	+	Promoter
CPROM644	116075	116075	-	Promoter
CPROM645	116380	116380	+	Promoter
CPROM646	116545	116545	-	Promoter
CPROM647	116596	116596	+	Promoter
CPROM648	117051	117051	-	Promoter
CPROM649	117787	117787	-	Promoter
CPROM650	117952	117952	-	Promoter
CPROM651	118078	118078	-	Promoter
CPROM652	118526	118526	+	Promoter
CPROM653	118663	118663	-	Promoter
CPROM654	118679	118679	-	Promoter
CPROM655	118701	118703	+	Promoter
CPROM656	118726	118726	+	Promoter
CPROM657	118990	118990	+	Promoter
CPROM658	120149	120149	+	Promoter
CPROM659	120283	120283	-	Promoter
CPROM660	120543	120543	-	Promoter
CPROM661	120697	120697	-	Promoter
CPROM662	120916	120919	-	Promoter
CPROM663	120955	120955	-	Promoter
CPROM664	121068	121068	-	Promoter
CPROM665	121304	121304	+	Promoter
CPROM666	121613	121613	+	Promoter
CPROM667	121647	121650	-	Promoter
CPROM668	121671	121680	-	Promoter
CPROM669	121705	121705	+	Promoter
CPROM670	121790	121790	-	Promoter
CPROM671	121802	121802	+	Promoter
CPROM672	121903	121903	-	Promoter
CPROM673	121918	121922	-	Promoter
CPROM674	122024	122025	+	Promoter
CPROM675	122033	122034	+	Promoter
CPROM676	122373	122373	-	Promoter
CPROM677	122612	122612	+	Promoter
CPROM678	122852	122852	+	Promoter
CPROM679	122860	122860	+	Promoter
CPROM680	122969	122969	+	Promoter
CPROM681	123372	123372	+	Promoter
CPROM682	123388	123388	+	Promoter
CPROM683	123471	123471	+	Promoter
CPROM684	123955	123955	+	Promoter
CPROM685	124882	124882	+	Promoter
CPROM686	124973	124973	+	Promoter
CPROM687	125143	125143	-	Promoter
CPROM688	125226	125226	+	Promoter
CPROM689	125284	125284	+	Promoter
CPROM690	125325	125325	+	Promoter
CPROM691	125425	125425	+	Promoter
CPROM692	125650	125650	-	Promoter
CPROM693	126733	126733	+	Promoter
CPROM694	126951	126951	-	Promoter
CPROM695	127420	127420	+	Promoter
CPROM696	127432	127436	+	Promoter
CPROM697	127473	127473	+	Promoter
CPROM698	127491	127491	+	Promoter
CPROM699	127505	127505	+	Promoter
CPROM700	127613	127613	+	Promoter
CPROM701	127636	127637	+	Promoter
CPROM702	127716	127717	+	Promoter
CPROM703	127862	127862	+	Promoter
CPROM704	127887	127887	-	Promoter
CPROM705	127896	127900	+	Promoter
CPROM706	127907	127907	+	Promoter
CPROM707	127929	127929	+	Promoter
CPROM708	127953	127953	+	Promoter
CPROM709	128827	128827	-	Promoter
CPROM710	129241	129241	-	Promoter
CPROM711	129500	129500	+	Promoter
CPROM712	130153	130153	-	Promoter
CPROM713	130184	130184	-	Promoter
CPROM714	130200	130200	+	Promoter
CPROM715	130229	130232	+	Promoter
CPROM716	130512	130512	-	Promoter
CPROM717	130908	130908	-	Promoter
CPROM718	130935	130935	+	Promoter
CPROM719	131369	131369	+	Promoter
CPROM720	131419	131419	-	Promoter
CPROM721	131518	131520	+	Promoter
CPROM722	131564	131564	+	Promoter
CPROM723	131662	131662	+	Promoter
CPROM724	131743	131743	+	Promoter
CPROM725	131954	131954	+	Promoter
CPROM726	132124	132124	+	Promoter
CPROM727	132455	132455	+	Promoter
CPROM728	132840	132840	+	Promoter
CPROM729	133449	133449	+	Promoter
CPROM730	133469	133470	-	Promoter
CPROM731	133468	133468	+	Promoter
CPROM732	134079	134079	-	Promoter
CPROM733	134147	134147	+	Promoter
CPROM734	134338	134340	+	Promoter
CPROM735	135053	135053	+	Promoter
CPROM736	135402	135402	+	Promoter
