tu_id	start	stop	strand	source	tu_name	operon_name	init_type	term_type	reported_bnumbers	valid_bnumbers	flag_genes	classic	HT	orphan	type	alt_id
CTU20	9928	10494	-	RegulonDB	satP	satP	gene	gene	b0010	b0010	0	1	0	0	TU	ECK120026508_NA_NA
CTU21	10643	11315	+	RegulonDB	mbiA	mbiA	TSS	gene	b0012	b0012	0	1	0	0	TU	ECK120009592_ECK120010501_NA
CTU22	10643	11356	-	RegulonDB	yaaW	yaaW	gene	gene	b0011	b0011	0	1	0	0	TU	ECK120026509_NA_NA
CTU23	10644	11315	+	RegulonDB	mbiA	mbiA	TSS	gene	b0012	b0012	0	1	0	0	TU	ECK120009591_ECK120010500_NA
CTU24	11382	11786	-	RegulonDB	yaaI	yaaI	gene	gene	b0013	b0013	0	1	0	0	TU	ECK120020482_NA_NA
CTU25	12047	14145	+	PB_M9_definedEnd	dnaK	dnaK,dnaJ,insL1	HT TSS	HT TTS	b0014	b0014	0	0	1	0	TU	PB_M9_definedEnd_209,PB_Rich_definedEnd_215
CTU26	12047	16364	+	PB_Rich_longestRead	dnaK_dnaJ	dnaK,dnaJ,insL1	HT TSS	long	b0014,b0015,b0016	b0014,b0015	1	0	1	0	TU	PB_Rich_longestRead_946
CTU27	12047	16393	+	PB_M9_longestRead	dnaK_dnaJ	dnaK,dnaJ,insL1	HT TSS	long	b0014,b0015,b0016	b0014,b0015	1	0	1	0	TU	PB_M9_longestRead_1075
CTU28	12048	15298	+	RegulonDB	dnaK_dnaJ	dnaK,dnaJ,insL1	TSS	gene	b0014,ECK120002604,b0015	b0014,b0015	1	1	0	0	TU	ECK120009450_ECK120010272_NA
CTU29	12122	14145	+	PB_M9_definedEnd	dnaK	dnaK,dnaJ,insL1	HT TSS	HT TTS	b0014	b0014	0	0	1	0	TU	PB_M9_definedEnd_210,PB_Rich_definedEnd_216
CTU30	12122	14160	+	PB_M9_definedEnd	dnaK	dnaK,dnaJ,insL1	HT TSS	HT TTS	b0014	b0014	0	0	1	0	TU	PB_M9_definedEnd_211,PB_Rich_definedEnd_217
CTU31	12122	16561	+	PB_M9_longestRead	dnaK_dnaJ_insL1	dnaK,dnaJ,insL1	HT TSS	long	b0014,b0015,b0016	b0014,b0015,b0016	0	0	1	0	TU	PB_M9_longestRead_1076
CTU32	12122	16614	+	PB_Rich_longestRead	dnaK_dnaJ_insL1	dnaK,dnaJ,insL1	HT TSS	long	b0014,b0015,b0016	b0014,b0015,b0016	0	0	1	0	TU	PB_Rich_longestRead_947
CTU33	12123	15298	+	RegulonDB	dnaK_dnaJ	dnaK,dnaJ,insL1	TSS	gene	b0014,ECK120002604,b0015	b0014,b0015	1	1	0	0	TU	ECK120009602_ECK120010273_NA
CTU34	12144	15298	+	RegulonDB	dnaK_dnaJ	dnaK,dnaJ,insL1	TSS	gene	b0014,ECK120002604,b0015	b0014,b0015	1	1	0	0	TU	ECK120009603_ECK120010510_NA
CTU35	13112	16563	+	PB_M9_longestRead	dnaJ_insL1	dnaK,dnaJ,insL1	HT TSS	long	b0014,b0015,b0016	b0015,b0016	1	0	1	0	TU	PB_M9_longestRead_1077
CTU36	14080	14167	+	RegulonDB	NA	NA	gene	gene	ECK120002604	NA	NA	1	0	0	TU	ECK120030156_NA_NA
CTU37	15444	16636	+	PB_M9_longestRead	insL1	dnaK,dnaJ,insL1	HT TSS	long	b0016	b0016	0	0	1	0	TU	PB_M9_longestRead_1078
CTU38	15444	16692	+	PB_Rich_longestRead	insL1	dnaK,dnaJ,insL1	HT TSS	long	b0016	b0016	0	0	1	0	TU	PB_Rich_longestRead_948
CTU39	15445	16557	+	RegulonDB	insL1	dnaK,dnaJ,insL1	gene	gene	b0016	b0016	0	1	0	0	TU	ECK120026510_NA_NA
CTU40	16751	16960	-	RegulonDB	hokC_mokC	hokC,mokC	gene	gene	b0018,b4412	b0018,b4412	0	1	0	0	TU	ECK120026511_NA_NA
CTU41	16952	17006	+	RegulonDB	sokC	sokC	gene	gene	b4413	b4413	0	1	0	0	TU	ECK120026512_NA_NA
CTU42	17317	19620	+	RegulonDB	nhaA_nhaR	nhaA,nhaR	TSS	gene	b0019,b0020	b0019,b0020	0	1	0	0	TU	ECK120009006_ECK120009983_NA
CTU43	17453	18695	+	PB_Rich_definedEnd	nhaA	nhaA,nhaR	HT TSS	HT TTS	b0019	b0019	0	0	1	0	TU	PB_Rich_definedEnd_218
CTU44	17453	19698	+	PB_M9_longestRead	nhaA_nhaR	nhaA,nhaR	HT TSS	long	b0019,b0020	b0019,b0020	0	0	1	0	TU	PB_M9_longestRead_1079
CTU45	17453	20084	+	PB_Rich_longestRead	nhaA_nhaR	nhaA,nhaR	HT TSS	long	b0019,b0020	b0019,b0020	0	0	1	0	TU	PB_Rich_longestRead_949
CTU46	17458	19620	+	RegulonDB	nhaA_nhaR	nhaA,nhaR	TSS	gene	b0019,b0020	b0019,b0020	0	1	0	0	TU	ECK120009391_ECK120010251_NA
CTU47	18715	19620	+	RegulonDB	nhaR	nhaA,nhaR	gene	gene	b0020	b0020	0	1	0	0	TU	ECK120030129_NA_NA
CTU48	19811	20508	-	RegulonDB	insA1_insB1_insAB1	insA1,insB1,insAB1,rpsT	gene	gene	b0022,ECK120023911,b0021	ECK120023911,b0021,b0022	1	1	0	0	TU	ECK120026513_NA_NA
CTU49	20137	21117	-	PB_M9_longestRead	rpsT_insA1	insA1,insB1,insAB1,rpsT	HT TSS	long	b0023,b0022,b0021	b0022,b0023	1	0	1	0	TU	PB_M9_longestRead_2
CTU50	20190	21207	-	PB_M9_longestRead	rpsT_insA1	insA1,insB1,insAB1,rpsT	HT TSS	long	b0023,b0022,b0021	b0022,b0023	1	0	1	0	TU	PB_M9_longestRead_3
CTU51	20566	21117	-	PB_Rich_longestRead	rpsT	insA1,insB1,insAB1,rpsT	HT TSS	long	b0023	b0023	0	0	1	0	TU	PB_Rich_longestRead_2
CTU52	20621	21207	-	PB_Rich_longestRead	rpsT	insA1,insB1,insAB1,rpsT	HT TSS	long	b0023	b0023	0	0	1	0	TU	PB_Rich_longestRead_3
CTU53	20763	21117	-	PB_M9_definedEnd	rpsT	insA1,insB1,insAB1,rpsT	HT TSS	HT TTS	b0023	b0023	0	0	1	0	TU	PB_M9_definedEnd_1,PB_Rich_definedEnd_2
CTU54	20763	21207	-	PB_M9_definedEnd	rpsT	insA1,insB1,insAB1,rpsT	HT TSS	HT TTS	b0023	b0023	0	0	1	0	TU	PB_M9_definedEnd_2,PB_Rich_definedEnd_3
CTU55	20771	21120	-	RegulonDB	rpsT	insA1,insB1,insAB1,rpsT	TSS	TTS	b0023	b0023	0	1	0	0	TU	ECK120015340_ECK120015408_ECK120016882
CTU56	20771	21210	-	RegulonDB	rpsT	insA1,insB1,insAB1,rpsT	TSS	TTS	b0023	b0023	0	1	0	0	TU	ECK120015339_ECK120015407_ECK120016882
CTU57	21181	21399	+	orphan	yaaY	yaaY	gene	gene	b0024	b0024	0	0	0	1	TU	orphan_1
CTU58	21382	25536	+	PB_M9_longestRead	ribF_ileS	ribF,ileS,lspA,fkpB,ispH	HT TSS	long	b0024,b0025,b0026,b0027	b0025,b0026	1	0	1	0	TU	PB_M9_longestRead_1080
CTU59	21382	25699	+	PB_Rich_longestRead	ribF_ileS	ribF,ileS,lspA,fkpB,ispH	HT TSS	long	b0024,b0025,b0026,b0027	b0025,b0026	1	0	1	0	TU	PB_Rich_longestRead_950
CTU60	21383	27279	+	RegulonDB	ribF_ileS_lspA_fkpB_ispH	ribF,ileS,lspA,fkpB,ispH	TSS	TTS	b0025,b0026,b0027,b0028,b0029	b0025,b0026,b0027,b0028,b0029	0	1	0	0	TU	ECK120009479_ECK120016956_ECK120030671
CTU61	21555	25795	+	PB_M9_longestRead	ileS_lspA	ribF,ileS,lspA,fkpB,ispH	HT TSS	long	b0025,b0026,b0027	b0026,b0027	1	0	1	0	TU	PB_M9_longestRead_1081
CTU62	21833	27279	+	RegulonDB	ileS_lspA_fkpB_ispH	ribF,ileS,lspA,fkpB,ispH	TSS	TTS	b0026,b0027,b0028,b0029	b0026,b0027,b0028,b0029	0	1	0	0	TU	ECK120030634_ECK120030653_ECK120030671
CTU63	21834	25795	+	PB_M9_longestRead	ileS_lspA	ribF,ileS,lspA,fkpB,ispH	HT TSS	long	b0025,b0026,b0027	b0026,b0027	1	0	1	0	TU	PB_M9_longestRead_1082,PB_Rich_longestRead_951
CTU64	22034	27279	+	RegulonDB	ileS_lspA_fkpB_ispH	ribF,ileS,lspA,fkpB,ispH	TSS	TTS	b0026,b0027,b0028,b0029	b0026,b0027,b0028,b0029	0	1	0	0	TU	ECK120030635_ECK120030654_ECK120030671
CTU65	22228	26210	+	PB_M9_longestRead	ileS_lspA	ribF,ileS,lspA,fkpB,ispH	HT TSS	long	b0025,b0026,b0027,b0028	b0026,b0027	1	0	1	0	TU	PB_M9_longestRead_1083
CTU66	22229	27279	+	RegulonDB	ileS_lspA_fkpB_ispH	ribF,ileS,lspA,fkpB,ispH	TSS	TTS	b0026,b0027,b0028,b0029	b0026,b0027,b0028,b0029	0	1	0	0	TU	ECK120033554_ECK120033608_ECK120030671
CTU67	22368	25426	+	PB_M9_longestRead	ileS	ribF,ileS,lspA,fkpB,ispH	HT TSS	long	b0026,b0027	b0026	1	0	1	0	TU	PB_M9_longestRead_1084
CTU68	22368	26777	+	PB_Rich_longestRead	ileS_lspA_fkpB	ribF,ileS,lspA,fkpB,ispH	HT TSS	long	b0026,b0027,b0028,b0029	b0026,b0027,b0028	1	0	1	0	TU	PB_Rich_longestRead_952
CTU69	25013	27281	+	PB_M9_longestRead	lspA_fkpB_ispH	ribF,ileS,lspA,fkpB,ispH	HT TSS	long	b0026,b0027,b0028,b0029	b0027,b0028,b0029	1	0	1	0	TU	PB_M9_longestRead_1085
CTU70	25014	27279	+	RegulonDB	lspA_fkpB_ispH	ribF,ileS,lspA,fkpB,ispH	TSS	TTS	b0027,b0028,b0029	b0027,b0028,b0029	0	1	0	0	TU	ECK120029296_ECK120029295_ECK120030671
CTU71	27263	28257	+	PB_Rich_definedEnd	rihC	rihC,dapB	HT TSS	HT TTS	b0030	b0030	0	0	1	0	TU	PB_Rich_definedEnd_219
CTU72	27263	29277	+	PB_M9_longestRead	rihC_dapB	rihC,dapB	HT TSS	long	b0030,b0031	b0030,b0031	0	0	1	0	TU	PB_M9_longestRead_1086
CTU73	27263	29491	+	PB_Rich_longestRead	rihC_dapB	rihC,dapB	HT TSS	long	b0030,b0031	b0030,b0031	0	0	1	0	TU	PB_Rich_longestRead_953
CTU74	27293	28207	+	RegulonDB	rihC	rihC,dapB	gene	gene	b0030	b0030	0	1	0	0	TU	ECK120026514_NA_NA
CTU75	28287	29276	+	PB_M9_definedEnd	dapB	rihC,dapB	HT TSS	HT TTS	b0031	b0031	0	0	1	0	TU	PB_M9_definedEnd_212
CTU76	28287	29377	+	PB_M9_longestRead	dapB	rihC,dapB	HT TSS	long	b0031	b0031	0	0	1	0	TU	PB_M9_longestRead_1087
CTU77	28287	29549	+	PB_Rich_longestRead	dapB	rihC,dapB	HT TSS	long	b0031	b0031	0	0	1	0	TU	PB_Rich_longestRead_954
CTU78	28288	29272	+	RegulonDB	dapB	rihC,dapB	TSS	TTS	b0031	b0031	0	1	0	0	TU	ECK120030636_ECK120030657_ECK120030673
CTU79	28342	29276	+	PB_M9_definedEnd	dapB	rihC,dapB	HT TSS	HT TTS	b0031	b0031	0	0	1	0	TU	PB_M9_definedEnd_213
CTU80	28342	29649	+	PB_M9_longestRead	dapB	rihC,dapB	HT TSS	long	b0031	b0031	0	0	1	0	TU	PB_M9_longestRead_1088
CTU81	28343	29272	+	RegulonDB	dapB	rihC,dapB	TSS	TTS	b0031	b0031	0	1	0	0	TU	ECK120011048_ECK120010274_ECK120030673
CTU82	28509	28620	+	orphan	nc9	nc9	gene	gene	ECK125203390	ECK125203390	0	0	0	1	TU	orphan_2
CTU83	29550	33914	+	PB_Rich_longestRead	carA	carA,carB	HT TSS	long	b0032,b0033	b0032	1	0	1	0	TU	PB_Rich_longestRead_955
CTU84	29550	34109	+	PB_M9_longestRead	carA_carB	carA,carB	HT TSS	long	b0032,b0033	b0032,b0033	0	0	1	0	TU	PB_M9_longestRead_1089
CTU85	29551	34120	+	RegulonDB	carA_carB	carA,carB	TSS	TTS	b0032,b0033	b0032,b0033	0	1	0	0	TU	ECK120009302_ECK120010176_ECK125257016
CTU86	29619	34120	+	RegulonDB	carA_carB	carA,carB	TSS	TTS	b0032,b0033	b0032,b0033	0	1	0	0	TU	ECK120009301_ECK120010111_ECK125257016
CTU87	29620	33675	+	PB_Rich_longestRead	carA	carA,carB	HT TSS	long	b0032,b0033	b0032	1	0	1	0	TU	PB_Rich_longestRead_956
CTU88	29620	34118	+	PB_M9_longestRead	carA_carB	carA,carB	HT TSS	long	b0032,b0033	b0032,b0033	0	0	1	0	TU	PB_M9_longestRead_1090
CTU89	30775	34038	+	RegulonDB	carB	carA,carB	TSS	gene	b0033	b0033	0	1	0	0	TU	ECK120011049_ECK120010275_NA
CTU90	34218	34695	+	RegulonDB	caiF	caiF	TSS	gene	b0034	b0034	0	1	0	0	TU	ECK120009715_ECK120010686_NA
CTU91	34781	37824	-	RegulonDB	caiC_caiD_caiE	caiT,caiA,caiB,caiC,caiD,caiE	gene	gene	b0037,b0036,b0035	b0035,b0036,b0037	1	1	0	0	TU	ECK120033587_ECK120033689_NA
CTU92	34781	42037	-	RegulonDB	caiT_caiA_caiB_caiC_caiD_caiE	caiT,caiA,caiB,caiC,caiD,caiE	TSS	gene	b0040,b0039,b0038,b0037,b0036,b0035	b0035,b0036,b0037,b0038,b0039,b0040	1	1	0	0	TU	ECK120009437_ECK120010472_NA
CTU93	36192	39939	-	PB_Rich_longestRead	caiB_caiC	caiT,caiA,caiB,caiC,caiD,caiE	HT TSS	long	b0039,b0038,b0037	b0037,b0038	1	0	1	0	TU	PB_Rich_longestRead_5
CTU94	36193	39507	-	PB_Rich_longestRead	caiB_caiC	caiT,caiA,caiB,caiC,caiD,caiE	HT TSS	long	b0039,b0038,b0037	b0037,b0038	1	0	1	0	TU	PB_Rich_longestRead_4
CTU95	36587	39939	-	PB_M9_longestRead	caiB	caiT,caiA,caiB,caiC,caiD,caiE	HT TSS	long	b0039,b0038,b0037	b0038	1	0	1	0	TU	PB_M9_longestRead_4
CTU96	42324	45662	+	PB_Rich_longestRead	fixA_fixB_fixC	fixA,fixB,fixC,fixX	HT TSS	long	b0041,b0042,b0043,b0044	b0041,b0042,b0043	1	0	1	0	TU	PB_Rich_longestRead_957
CTU97	42324	46352	+	PB_M9_longestRead	fixA_fixB_fixC_fixX	fixA,fixB,fixC,fixX	HT TSS	long	b0041,b0042,b0043,b0044,b0045	b0041,b0042,b0043,b0044	1	0	1	0	TU	PB_M9_longestRead_1091
CTU98	42325	45750	+	RegulonDB	fixA_fixB_fixC_fixX	fixA,fixB,fixC,fixX	TSS	gene	b0041,b0042,b0043,b0044	b0041,b0042,b0043,b0044	0	1	0	0	TU	ECK120009716_ECK120010687_NA
CTU99	45592	47138	+	RegulonDB	yaaU	yaaU	TSS	gene	b0045	b0045	0	1	0	0	TU	ECK120026516_ECK125095438_NA
CTU100	47214	49727	+	PB_M9_longestRead	kefF_kefC	kefF,kefC,folA	HT TSS	long	b0046,b0047	b0046,b0047	0	0	1	0	TU	PB_M9_longestRead_1092
CTU101	47214	50533	+	PB_Rich_longestRead	kefF_kefC_folA	kefF,kefC,folA	HT TSS	long	b0046,b0047,b0048	b0046,b0047,b0048	0	0	1	0	TU	PB_Rich_longestRead_958
CTU102	47246	49631	+	RegulonDB	kefF_kefC	kefF,kefC,folA	gene	gene	b0046,b0047	b0046,b0047	0	1	0	0	TU	ECK120026517_NA_NA
CTU103	49798	50615	+	PB_M9_longestRead	folA	kefF,kefC,folA	HT TSS	long	b0048	b0048	0	0	1	0	TU	PB_M9_longestRead_1093
CTU104	49798	50934	+	PB_Rich_longestRead	folA	kefF,kefC,folA	HT TSS	long	b0048	b0048	0	0	1	0	TU	PB_Rich_longestRead_959
CTU105	49799	50302	+	RegulonDB	folA	kefF,kefC,folA	TSS	gene	b0048	b0048	0	1	0	0	TU	ECK120009121_ECK120010276_NA
CTU106	50107	52587	-	PB_Rich_longestRead	rsmA_apaG_apaH	rsmA,apaG,apaH,pdxA,surA,lptD	HT TSS	long	b0052,b0051,b0050,b0049	b0049,b0050,b0051	1	0	1	0	TU	PB_Rich_longestRead_6
CTU107	50122	52587	-	PB_M9_longestRead	rsmA_apaG_apaH	rsmA,apaG,apaH,pdxA,surA,lptD	HT TSS	long	b0052,b0051,b0050,b0049	b0049,b0050,b0051	1	0	1	0	TU	PB_M9_longestRead_5
CTU108	50380	52034	-	RegulonDB	apaG_apaH	rsmA,apaG,apaH,pdxA,surA,lptD	TSS	gene	b0050,b0049	b0049,b0050	1	1	0	0	TU	ECK120009077_ECK120010072_NA
CTU109	50380	52588	-	RegulonDB	rsmA_apaG_apaH	rsmA,apaG,apaH,pdxA,surA,lptD	TSS	gene	b0051,b0050,b0049	b0049,b0050,b0051	1	1	0	0	TU	ECK120009075_ECK120010070_NA
CTU110	50380	53416	-	RegulonDB	pdxA_rsmA_apaG_apaH	rsmA,apaG,apaH,pdxA,surA,lptD	gene	gene	b0052,b0051,b0050,b0049	b0049,b0050,b0051,b0052	1	1	0	0	TU	ECK120009076_ECK120010071_NA
CTU111	50380	54702	-	RegulonDB	surA_pdxA_rsmA_apaG_apaH	rsmA,apaG,apaH,pdxA,surA,lptD	gene	gene	b0053,b0052,b0051,b0050,b0049	b0049,b0050,b0051,b0052,b0053	1	1	0	0	TU	ECK120009550_ECK120010653_NA
CTU112	51268	55306	-	PB_Rich_longestRead	surA_pdxA_rsmA	rsmA,apaG,apaH,pdxA,surA,lptD	HT TSS	long	b0054,b0053,b0052,b0051,b0050	b0051,b0052,b0053	1	0	1	0	TU	PB_Rich_longestRead_7
CTU113	51291	55358	-	PB_M9_longestRead	surA_pdxA_rsmA	rsmA,apaG,apaH,pdxA,surA,lptD	HT TSS	long	b0054,b0053,b0052,b0051,b0050	b0051,b0052,b0053	1	0	1	0	TU	PB_M9_longestRead_7
CTU114	51325	55358	-	PB_Rich_longestRead	surA_pdxA_rsmA	rsmA,apaG,apaH,pdxA,surA,lptD	HT TSS	long	b0054,b0053,b0052,b0051,b0050	b0051,b0052,b0053	1	0	1	0	TU	PB_Rich_longestRead_8
CTU115	51609	53416	-	RegulonDB	pdxA_rsmA	rsmA,apaG,apaH,pdxA,surA,lptD	gene	gene	b0052,b0051	b0051,b0052	1	1	0	0	TU	ECK120009078_ECK120010071_NA
CTU116	52427	57336	-	RegulonDB	lptD_surA_pdxA	rsmA,apaG,apaH,pdxA,surA,lptD	TSS	gene	b0054,b0053,b0052	b0052,b0053,b0054	1	1	0	0	TU	ECK120010955_ECK120010013_NA
CTU117	53026	57156	-	PB_Rich_longestRead	lptD_surA	rsmA,apaG,apaH,pdxA,surA,lptD	HT TSS	long	b0054,b0053,b0052	b0053,b0054	1	0	1	0	TU	PB_Rich_longestRead_9
CTU118	53116	57156	-	PB_M9_longestRead	lptD_surA	rsmA,apaG,apaH,pdxA,surA,lptD	HT TSS	long	b0054,b0053,b0052	b0053,b0054	1	0	1	0	TU	PB_M9_longestRead_8
CTU119	53201	55210	-	PB_M9_longestRead	surA	rsmA,apaG,apaH,pdxA,surA,lptD	HT TSS	long	b0054,b0053,b0052	b0053	1	0	1	0	TU	PB_M9_longestRead_6
CTU120	53258	57241	-	PB_Rich_longestRead	lptD_surA	rsmA,apaG,apaH,pdxA,surA,lptD	HT TSS	long	b0054,b0053,b0052	b0053,b0054	1	0	1	0	TU	PB_Rich_longestRead_10
CTU121	53259	55358	-	PB_M9_definedEnd	surA	rsmA,apaG,apaH,pdxA,surA,lptD	HT TSS	HT TTS	b0054,b0053,b0052	b0053	1	0	1	0	TU	PB_M9_definedEnd_3
CTU122	53979	57241	-	PB_M9_longestRead	lptD	rsmA,apaG,apaH,pdxA,surA,lptD	HT TSS	long	b0054,b0053	b0054	1	0	1	0	TU	PB_M9_longestRead_9
CTU123	54755	57156	-	RegulonDB	lptD	rsmA,apaG,apaH,pdxA,surA,lptD	TSS	gene	b0054	b0054	0	1	0	0	TU	ECK120010953_ECK120010011_NA
CTU124	54755	57241	-	RegulonDB	lptD	rsmA,apaG,apaH,pdxA,surA,lptD	TSS	gene	b0054	b0054	0	1	0	0	TU	ECK120010954_ECK120010012_NA
CTU125	57258	58756	+	PB_M9_longestRead	djlA	djlA,yabP,yabQ	HT TSS	long	b0055,b0056	b0055	1	0	1	0	TU	PB_M9_longestRead_1094
CTU126	57258	59944	+	PB_Rich_longestRead	djlA_yabP_yabQ	djlA,yabP,yabQ	HT TSS	long	b0055,b0056,b0057	b0055,b0056,b0057	0	0	1	0	TU	PB_Rich_longestRead_960
CTU127	57364	58179	+	RegulonDB	djlA	djlA,yabP,yabQ	gene	gene	b0055	b0055	0	1	0	0	TU	ECK120026518_NA_NA
CTU128	58474	59279	+	RegulonDB	yabP_yabQ	djlA,yabP,yabQ	gene	gene	b0056,b0057	b0056,b0057	0	1	0	0	TU	ECK120026519_NA_NA
CTU129	59610	63356	-	PB_Rich_longestRead	rapA_rluA	rapA,rluA	HT TSS	long	b0059,b0058	b0058,b0059	1	0	1	0	TU	PB_Rich_longestRead_11
CTU130	59611	63356	-	PB_M9_longestRead	rapA_rluA	rapA,rluA	HT TSS	long	b0059,b0058	b0058,b0059	1	0	1	0	TU	PB_M9_longestRead_10
CTU131	59687	63358	-	RegulonDB	rapA_rluA	rapA,rluA	TSS	gene	b0059,b0058	b0058,b0059	1	1	0	0	TU	ECK120010940_ECK120009982_NA
CTU132	60358	63588	-	RegulonDB	rapA	rapA,rluA	TSS	gene	b0059	b0059	0	1	0	0	TU	ECK120033568_ECK120033631_NA
CTU133	63299	65803	-	PB_M9_longestRead	polB	polB	HT TSS	long	b0060	b0060	0	0	1	0	TU	PB_M9_longestRead_11
CTU134	63300	65803	-	PB_Rich_longestRead	polB	polB	HT TSS	long	b0060	b0060	0	0	1	0	TU	PB_Rich_longestRead_12
CTU135	63429	65803	-	RegulonDB	polB	polB	TSS	gene	b0060	b0060	0	1	0	0	TU	ECK120015327_ECK120015389_NA
CTU136	65800	70075	-	RegulonDB	araB_araA_araD	araB,araA,araD	TSS	TTS	b0063,b0062,b0061	b0061,b0062,b0063	1	1	0	0	TU	ECK120009405_ECK120010108_ECK120010860
CTU137	66493	70077	-	PB_Rich_longestRead	araB_araA	araB,araA,araD	HT TSS	long	b0063,b0062,b0061	b0062,b0063	1	0	1	0	TU	PB_Rich_longestRead_13
CTU138	70220	72332	+	PB_M9_longestRead	araC_yabI	araC,yabI	HT TSS	long	b0064,b0065	b0064,b0065	0	0	1	0	TU	PB_M9_longestRead_1095
CTU139	70223	71265	+	RegulonDB	araC	araC,yabI	TSS	gene	b0064	b0064	0	1	0	0	TU	ECK120009196_ECK120010988_NA
CTU140	71270	72436	+	PB_M9_longestRead	yabI	araC,yabI	HT TSS	long	b0065	b0065	0	0	1	0	TU	PB_M9_longestRead_1096
CTU141	71271	72115	+	RegulonDB	yabI	araC,yabI	TSS	gene	b0065	b0065	0	1	0	0	TU	ECK120026521_ECK120034391_NA
CTU142	71714	75608	-	PB_M9_longestRead	thiB_thiP_thiQ	thiB,thiP,thiQ,sgrR,sroA	HT TSS	long	b0068,b0067,b0066	b0066,b0067,b0068	1	0	1	0	TU	PB_M9_longestRead_12
CTU143	71921	75608	-	PB_Rich_longestRead	thiB_thiP_thiQ	thiB,thiP,thiQ,sgrR,sroA	HT TSS	long	b0068,b0067,b0066	b0066,b0067,b0068	1	0	1	0	TU	PB_Rich_longestRead_14
CTU144	72229	77338	-	RegulonDB	sgrR_sroA_thiB_thiP_thiQ	thiB,thiP,thiQ,sgrR,sroA	TSS	gene	b0069,b4762,b0068,b0067,b0066	b0066,b0067,b0068,b4762,b0069	1	1	0	0	TU	ECK120026522_ECK120030789_NA
CTU145	73773	77403	-	PB_Rich_longestRead	sgrR_thiB	thiB,thiP,thiQ,sgrR,sroA	HT TSS	long	b0069,b0068,b0067	b0068,b0069	1	0	1	0	TU	PB_Rich_longestRead_16
CTU146	74158	77339	-	PB_Rich_longestRead	sgrR_thiB	thiB,thiP,thiQ,sgrR,sroA	HT TSS	long	b0069,b0068,b0067	b0068,b0069	1	0	1	0	TU	PB_Rich_longestRead_15
