ctg_id	valid_bnumbers	rank	Zika_gene_id
CCTG44	b0034	1	27
CCTG45	b0035	1	335
CCTG45	b0036	2	336
CCTG45	b0037	3	337
CCTG46	b0035	1	335
CCTG46	b0036	2	336
CCTG46	b0037	3	337
CCTG46	b0038	4	338
CCTG46	b0039	5	339
CCTG46	b0040	6	340
CCTG47	b0037	1	337
CCTG47	b0038	2	338
CCTG48	b0038	1	338
CCTG49	b0041	1	341
CCTG49	b0042	2	342
CCTG49	b0043	3	343
CCTG50	b0041	1	341
CCTG50	b0042	2	342
CCTG50	b0043	3	343
CCTG50	b0044	4	344
CCTG51	b0045	1	345
CCTG52	b0046	1	346
CCTG52	b0047	2	347
CCTG53	b0046	1	346
CCTG53	b0047	2	347
CCTG53	b0048	3	348
CCTG54	b0048	1	348
CCTG55	b0049	1	349
CCTG55	b0050	2	350
CCTG55	b0051	3	351
CCTG56	b0049	1	349
CCTG56	b0050	2	350
CCTG57	b0049	1	349
CCTG57	b0050	2	350
CCTG57	b0051	3	351
CCTG57	b0052	4	352
CCTG58	b0049	1	349
CCTG58	b0050	2	350
CCTG58	b0051	3	351
CCTG58	b0052	4	352
CCTG58	b0053	5	353
CCTG59	b0051	1	351
CCTG59	b0052	2	352
CCTG59	b0053	3	353
CCTG60	b0051	1	351
CCTG60	b0052	2	352
CCTG61	b0052	1	352
CCTG61	b0053	2	353
CCTG61	b0054	3	354
CCTG62	b0053	1	353
CCTG62	b0054	2	354
CCTG63	b0053	1	353
CCTG64	b0054	1	354
CCTG65	b0055	1	355
CCTG66	b0055	1	355
CCTG66	b0056	2	8202
CCTG66	b0057	3	8197
CCTG67	b0056	1	8202
CCTG67	b0057	2	8197
CCTG68	b0058	1	356
CCTG68	b0059	2	357
CCTG69	b0059	1	357
CCTG70	b0060	1	358
CCTG71	b0061	1	359
CCTG71	b0062	2	360
CCTG71	b0063	3	361
CCTG72	b0062	1	360
CCTG72	b0063	2	361
CCTG73	b0064	1	13
CCTG73	b0065	2	362
CCTG74	b0064	1	13
CCTG75	b0065	1	362
CCTG76	b0066	1	363
CCTG76	b0067	2	364
CCTG76	b0068	3	365
CCTG77	b0066	1	363
CCTG77	b0067	2	364
CCTG77	b0068	3	365
CCTG77	b4762	4	8798
CCTG77	b0069	5	195
CCTG78	b0068	1	365
CCTG78	b0069	2	195
CCTG79	b0069	1	195
CCTG80	b4762	1	8798
CCTG81	b4577	1	8799
CCTG81	b4662	2	366
CCTG81	b0070	3	367
CCTG82	b0070	1	367
CCTG83	b0071	1	368
CCTG83	b0072	2	369
CCTG83	b0073	3	370
CCTG83	b0074	4	371
CCTG83	b0075	5	372
CCTG84	b0073	1	370
CCTG84	b0074	2	371
CCTG85	b0075	1	372
CCTG86	b0076	1	116
CCTG87	b0077	1	373
CCTG87	b0078	2	374
CCTG88	b4726	1	8237
CCTG89	b0077	1	373
CCTG89	b0078	2	374
CCTG89	b0080	3	81
CCTG90	b0080	1	81
CCTG91	b0080	1	81
CCTG91	b0081	2	375
CCTG91	b0082	3	376
CCTG91	b0083	4	377
CCTG92	b0081	1	375
CCTG92	b0082	2	376
CCTG92	b0083	3	377
CCTG93	b0081	1	375
CCTG93	b0082	2	376
CCTG93	b0083	3	377
CCTG93	b0084	4	378
CCTG93	b0085	5	379
CCTG93	b0086	6	380
CCTG93	b0087	7	381
CCTG93	b0088	8	382
CCTG93	b0089	9	383
CCTG93	b0090	10	384
CCTG93	b0091	11	385
CCTG93	b0092	12	386
CCTG93	b0093	13	387
CCTG93	b0094	14	388
CCTG93	b0095	15	389
CCTG93	b0096	16	390
CCTG94	b0082	1	376
CCTG94	b0083	2	377
CCTG94	b0084	3	378
CCTG94	b0085	4	379
CCTG94	b0086	5	380
CCTG94	b0087	6	381
CCTG94	b0088	7	382
CCTG94	b0089	8	383
CCTG94	b0090	9	384
CCTG94	b0091	10	385
CCTG94	b0092	11	386
CCTG94	b0093	12	387
CCTG94	b0094	13	388
CCTG94	b0095	14	389
CCTG94	b0096	15	390
CCTG95	b0083	1	377
CCTG95	b0084	2	378
CCTG95	b0085	3	379
CCTG95	b0086	4	380
CCTG95	b0087	5	381
CCTG95	b0088	6	382
CCTG95	b0089	7	383
CCTG95	b0090	8	384
CCTG95	b0091	9	385
CCTG95	b0092	10	386
CCTG95	b0093	11	387
CCTG95	b0094	12	388
CCTG95	b0095	13	389
CCTG95	b0096	14	390
CCTG96	b0093	1	387
CCTG97	b0093	1	387
CCTG97	b0094	2	388
CCTG98	b0093	1	387
CCTG98	b0094	2	388
CCTG98	b0095	3	389
CCTG99	b0094	1	388
CCTG99	b0095	2	389
CCTG100	b0095	1	389
CCTG100	b0096	2	390
CCTG101	b0095	1	389
CCTG101	b0096	2	390
CCTG101	b0097	3	391
CCTG102	b0095	1	389
CCTG103	b0096	1	390
CCTG104	b0096	1	390
CCTG104	b0097	2	391
CCTG105	b0097	1	391
CCTG106	b0097	1	391
CCTG106	b0098	2	392
CCTG107	b0097	1	391
CCTG107	b0098	2	392
CCTG107	b0099	3	393
CCTG108	b0101	1	394
CCTG108	b0102	2	395
CCTG108	b0103	3	396
CCTG109	b0101	1	394
CCTG110	b4727	1	8238
CCTG111	b0104	1	397
CCTG112	b0106	1	398
CCTG112	b0107	2	399
CCTG112	b0108	3	400
CCTG113	b0109	1	401
CCTG114	b0110	1	402
CCTG114	b0111	2	403
CCTG115	b0112	1	404
CCTG116	b0113	1	163
CCTG117	b0113	1	163
CCTG117	b0114	2	405
CCTG117	b0115	3	406
CCTG117	b0116	4	407
CCTG118	b0114	1	405
CCTG118	b0115	2	406
CCTG119	b0116	1	407
CCTG120	b0117	1	408
CCTG121	b0118	1	409
CCTG122	b0118	1	409
CCTG122	b0119	2	410
CCTG123	b0119	1	410
CCTG124	b0120	1	411
CCTG124	b0121	2	412
CCTG125	b0120	1	411
CCTG126	b0120	1	411
CCTG126	b0121	2	412
CCTG126	b0122	3	413
CCTG127	b0121	1	412
CCTG128	b0122	1	413
CCTG129	b0123	1	414
CCTG130	b0124	1	415
CCTG131	b0125	1	416
CCTG132	b0125	1	416
CCTG132	b0127	2	418
CCTG132	b0128	3	419
CCTG133	b0125	1	416
CCTG133	b0127	2	418
CCTG133	b0128	3	419
CCTG133	b0129	4	420
CCTG134	b0126	1	417
CCTG135	b0127	1	418
CCTG135	b0128	2	419
CCTG136	b0127	1	418
CCTG136	b0128	2	419
CCTG136	b0129	3	420
CCTG137	b0129	1	420
CCTG138	b0130	1	421
CCTG139	b0131	1	422
CCTG140	b0132	1	423
CCTG141	b0133	1	424
CCTG141	b0134	2	425
CCTG142	b0133	1	424
CCTG143	b0135	1	426
CCTG144	b0135	1	426
CCTG144	b0136	2	427
CCTG144	b0137	3	428
CCTG144	b0138	4	429
CCTG145	b0139	1	430
CCTG145	b0140	2	431
CCTG146	b0141	1	432
CCTG147	b0142	1	433
CCTG147	b0143	2	434
CCTG148	b0143	1	434
CCTG148	b0144	2	435
CCTG148	b0145	3	436
CCTG149	b0144	1	435
CCTG149	b0145	2	436
CCTG150	b0145	1	436
CCTG151	b0145	1	436
CCTG151	b0146	2	192
CCTG151	b0147	3	437
CCTG152	b0145	1	436
CCTG152	b0146	2	192
CCTG153	b0147	1	437
CCTG154	b0148	1	438
CCTG155	b0149	1	439
CCTG156	b0150	1	440
CCTG157	b0150	1	440
CCTG157	b0151	2	441
CCTG158	b0150	1	440
CCTG158	b0151	2	441
CCTG158	b0152	3	442
CCTG159	b0150	1	440
CCTG159	b0151	2	441
CCTG159	b0152	3	442
CCTG159	b0153	4	443
CCTG160	b0151	1	441
CCTG161	b0151	1	441
CCTG161	b0152	2	442
CCTG162	b0154	1	444
CCTG163	b0155	1	445
CCTG163	b0156	2	446
CCTG164	b4765	1	8800
CCTG165	b0155	1	445
CCTG166	b4728	1	8239
CCTG167	b0156	1	446
CCTG168	b0157	1	447
CCTG168	b0158	2	448
CCTG168	b0159	3	449
CCTG169	b0159	1	449
CCTG170	b0160	1	450
CCTG171	b0161	1	451
CCTG172	b0162	1	29
CCTG173	b0163	1	452
CCTG173	b0164	2	453
CCTG173	b0166	3	454
CCTG174	b0163	1	452
CCTG175	b0164	1	453
CCTG175	b0166	2	454
CCTG176	b0164	1	453
CCTG177	b0166	1	454
CCTG177	b0167	2	455
CCTG178	b0166	1	454
CCTG178	b0167	2	455
CCTG178	b0168	3	456
CCTG179	b0166	1	454
CCTG180	b0167	1	455
CCTG181	b0167	1	455
CCTG181	b0168	2	456
CCTG182	b0168	1	456
CCTG183	b4414	1	8801
CCTG183	b0169	2	457
CCTG183	b0170	3	458
CCTG184	b4414	1	8801
CCTG184	b0169	2	457
CCTG185	b4414	1	8801
CCTG185	b0169	2	457
CCTG185	b0170	3	458
CCTG185	b0171	4	459
CCTG185	b0172	5	460
CCTG186	b0169	1	457
CCTG186	b0170	2	458
CCTG187	b0169	1	457
CCTG187	b0170	2	458
CCTG187	b0171	3	459
CCTG187	b0172	4	460
CCTG188	b0170	1	458
CCTG189	b0170	1	458
CCTG189	b0171	2	459
CCTG189	b0172	3	460
CCTG190	b0170	1	458
CCTG190	b0171	2	459
CCTG190	b0172	3	460
CCTG190	b0173	4	461
CCTG191	b0171	1	459
CCTG191	b0172	2	460
CCTG191	b0173	3	461
CCTG192	b0171	1	459
CCTG192	b0172	2	460
CCTG193	b0171	1	459
CCTG194	b0172	1	460
CCTG195	b0172	1	460
CCTG195	b0173	2	461
CCTG195	b0174	3	462
CCTG196	b0172	1	460
CCTG196	b0173	2	461
CCTG196	b0174	3	462
CCTG196	b0175	4	463
CCTG197	b0172	1	460
CCTG197	b0173	2	461
CCTG198	b0173	1	461
CCTG198	b0174	2	462
CCTG198	b0175	3	463
CCTG199	b0174	1	462
CCTG199	b0175	2	463
CCTG199	b0176	3	4073
CCTG200	b0174	1	462
CCTG200	b0175	2	463
CCTG201	b0175	1	463
CCTG202	b0176	1	4073
CCTG203	b0177	1	464
CCTG204	b0177	1	464
CCTG204	b0178	2	465
CCTG205	b0177	1	464
CCTG205	b0178	2	465
CCTG205	b0179	3	466
CCTG205	b0180	4	467
CCTG205	b0181	5	468
CCTG205	b0182	6	469
CCTG205	b0183	7	470
CCTG205	b0184	8	471
CCTG206	b0178	1	465
CCTG206	b0179	2	466
CCTG207	b0178	1	465
CCTG207	b0179	2	466
CCTG207	b0180	3	467
CCTG207	b0181	4	468
CCTG208	b0178	1	465
CCTG208	b0179	2	466
CCTG208	b0180	3	467
CCTG208	b0181	4	468
CCTG208	b0182	5	469
CCTG209	b0179	1	466
CCTG210	b0180	1	467
CCTG210	b0181	2	468
CCTG210	b0182	3	469
CCTG211	b0180	1	467
CCTG211	b0181	2	468
CCTG211	b0182	3	469
CCTG211	b0183	4	470
CCTG212	b0180	1	467
CCTG212	b0181	2	468
CCTG213	b0180	1	467
CCTG214	b0181	1	468
CCTG215	b0181	1	468
CCTG215	b0182	2	469
CCTG215	b0183	3	470
CCTG216	b0181	1	468
CCTG216	b0182	2	469
CCTG217	b0185	1	472
CCTG218	b0186	1	473
CCTG219	b0187	1	474
CCTG219	b0188	2	475
CCTG220	b0187	1	474
CCTG221	b0188	1	475
CCTG222	b0189	1	476
CCTG222	b4406	2	477
CCTG223	b0190	1	478
CCTG223	b0191	2	479
CCTG223	b0192	3	480
CCTG224	b0192	1	480
CCTG225	b0193	1	481
CCTG225	b0194	2	482
CCTG226	b0193	1	481
CCTG227	b0194	1	482
CCTG228	b0194	1	482
CCTG228	b0195	2	483
CCTG228	b0196	3	484
CCTG229	b0195	1	483
CCTG229	b0196	2	484
CCTG230	b0196	1	484
CCTG230	b0197	2	485
CCTG230	b0198	3	486
CCTG230	b0199	4	487
CCTG231	b0197	1	485
CCTG232	b0197	1	485
CCTG232	b0198	2	486
CCTG232	b0199	3	487
CCTG233	b0200	1	488
CCTG234	b0200	1	488
CCTG234	b0201	2	9057
CCTG235	b0201	1	9057
CCTG235	b0202	2	8802
CCTG235	b0203	3	8803
CCTG236	b0201	1	9057
CCTG236	b0202	2	8802
CCTG236	b0203	3	8803
CCTG236	b0204	4	9058
CCTG236	b0205	5	9059
CCTG237	b0201	1	9057
CCTG237	b0202	2	8802
CCTG238	b0202	1	8802
CCTG239	b0202	1	8802
CCTG239	b0203	2	8803
CCTG240	b0204	1	9058
CCTG240	b0205	2	9059
CCTG241	b0206	1	8804
CCTG242	b0207	1	489
CCTG243	b0208	1	217
CCTG244	b0209	1	490
CCTG244	b0210	2	491
CCTG245	b0209	1	490
CCTG246	b0211	1	492
CCTG247	b0212	1	493
CCTG247	b0214	2	495
CCTG248	b0212	1	493
CCTG249	b0213	1	494
CCTG250	b0214	1	495
CCTG251	b0215	1	496
CCTG252	b0215	1	496
CCTG252	b0216	2	8805
CCTG253	b0216	1	8805
CCTG254	b0217	1	497
CCTG255	b4586	1	498
CCTG256	b0218	1	4100
CCTG257	b0219	1	499
CCTG258	b4503	1	4101
CCTG259	b0220	1	500
CCTG260	b0221	1	501
CCTG261	b0222	1	502
CCTG261	b0223	2	503
CCTG262	b0222	1	502
CCTG263	b0223	1	503
CCTG264	b0224	1	504
CCTG265	b0224	1	504
CCTG265	b0225	2	505
CCTG265	b0226	3	506
CCTG266	b0225	1	505
CCTG266	b0226	2	506
CCTG267	b0227	1	507
CCTG268	b0228	1	508
CCTG269	b0229	1	4102
CCTG270	b0230	1	4103
CCTG271	b0231	1	509
CCTG271	b0232	2	218
CCTG272	b0231	1	509
CCTG272	b0232	2	218
CCTG272	b0233	3	510
CCTG272	b0234	4	511
CCTG273	b0232	1	218
CCTG273	b0233	2	510
CCTG273	b0234	3	511
CCTG274	b0235	1	4104
CCTG274	b0236	2	4105
CCTG275	b0237	1	512
CCTG276	b0238	1	513
CCTG277	b0238	1	513
CCTG277	b0239	2	514
CCTG278	b0239	1	514
CCTG278	b0240	2	8192
CCTG279	b0239	1	514
CCTG280	b4710	1	8205
CCTG281	b4709	1	8206
CCTG282	b0241	1	515
CCTG283	b0242	1	516
CCTG283	b0243	2	517
CCTG283	b0244	3	8806
CCTG284	b0242	1	516
CCTG284	b0243	2	517
CCTG285	b0242	1	516
CCTG286	b0243	1	517
CCTG286	b0244	2	8806
CCTG287	b0244	1	8806
CCTG288	b4626	1	4106
CCTG289	b0245	1	518
CCTG289	b0246	2	519
CCTG289	b4504	3	520
CCTG289	b0247	4	521
CCTG290	b0245	1	518
CCTG290	b0246	2	519
CCTG290	b4504	3	520
CCTG290	b0247	4	521
CCTG290	b0248	5	522
CCTG290	b0249	6	523
CCTG290	b0250	7	524
CCTG291	b0245	1	518
CCTG291	b0246	2	519
CCTG291	b4504	3	520
CCTG291	b0247	4	521
CCTG291	b0248	5	522
CCTG291	b0249	6	523
CCTG291	b0250	7	524
CCTG291	b0251	8	525
CCTG292	b0252	1	526
CCTG293	b0252	1	526
CCTG293	b0253	2	527
CCTG294	b0253	1	527
CCTG295	b0254	1	164
CCTG296	b0256	1	528
CCTG297	b4587	1	4109
CCTG297	b0256	2	528
CCTG297	b4690	3	8807
CCTG298	b0258	1	4110
CCTG299	b0259	1	529
CCTG300	b0260	1	530
CCTG300	b0261	2	531
CCTG301	b0261	1	531
CCTG302	b0262	1	532
CCTG302	b0263	2	4111
CCTG302	ECK120023913	3	8808
CCTG302	b0264	4	4260
CCTG302	b0265	5	4261
CCTG303	b0266	1	4113
CCTG303	b0267	2	533
CCTG304	b0268	1	534
CCTG304	b0269	2	535
CCTG305	b0272	1	219
CCTG306	b0270	1	536
CCTG306	b0271	2	537
CCTG307	b0272	1	219
CCTG307	b0273	2	538
CCTG308	b0273	1	538
CCTG309	b4766	1	8809
CCTG310	b4688	1	4114
CCTG311	b0274	1	4263
CCTG311	ECK120023914	2	8810
CCTG311	b0275	3	4264
CCTG312	b0276	1	4115
CCTG313	b0277	1	539
CCTG314	b0278	1	540
CCTG314	b0279	2	541
CCTG315	b4729	1	8240
CCTG316	b0280	1	542
CCTG317	b0281	1	543
CCTG318	ECK125146691	1	8811
CCTG319	b0282	1	8234
CCTG320	b0283	1	544
CCTG320	b0284	2	545
CCTG320	b0285	3	546
CCTG320	b0286	4	547
CCTG321	b0287	1	548
CCTG322	b0288	1	549
CCTG323	b0289	1	550
CCTG323	b0290	2	551
CCTG323	b0291	3	552
CCTG323	b0292	4	553
CCTG324	b0293	1	554
CCTG325	b0294	1	128
CCTG326	b0295	1	555
CCTG327	b4506	1	556
CCTG327	b0296	2	557
CCTG328	b4671	1	558
CCTG329	b4630	1	4117
CCTG330	b0297	1	4118
CCTG330	ECK120023906	2	8812
CCTG330	b0298	3	559
CCTG330	b0299	4	560
CCTG331	b0298	1	559
CCTG331	b0299	2	560
CCTG332	b0300	1	4119
CCTG333	b0301	1	561
CCTG333	b0303	2	562
CCTG334	b0301	1	561
CCTG334	b0303	2	562
CCTG334	b0304	3	563
CCTG335	b0305	1	289
CCTG336	b0306	1	564
CCTG336	b0307	2	565
CCTG336	b0308	3	566
CCTG337	b0310	1	567
CCTG338	b0311	1	568
CCTG338	b0312	2	569
CCTG338	b0313	3	22
CCTG339	b0314	1	570
CCTG340	b4730	1	8241
CCTG341	b0315	1	220
CCTG342	b0316	1	221
CCTG343	b0317	1	571
CCTG344	b0318	1	572
CCTG344	b0319	2	573
CCTG344	b0320	3	574
CCTG344	b0321	4	575
CCTG345	b0319	1	573
CCTG346	b0322	1	8207
CCTG347	b0323	1	576
CCTG347	b0324	2	577
CCTG348	b0325	1	578
CCTG349	b0326	1	579
CCTG350	b0327	1	580
CCTG351	b0328	1	581
CCTG352	b0329	1	582
CCTG353	b0330	1	168
CCTG354	b0331	1	583
CCTG354	b0333	2	584
CCTG354	b0334	3	585
CCTG354	b0335	4	586
CCTG355	b0336	1	587
CCTG355	b0337	2	588
CCTG356	b0337	1	588
CCTG357	b0338	1	49
CCTG358	b0339	1	589
CCTG358	b0340	2	590
CCTG359	b0339	1	589
CCTG359	b0340	2	590
CCTG359	b0341	3	591
CCTG360	b0342	1	592
CCTG360	b0343	2	593
CCTG361	b0342	1	592
CCTG361	b0343	2	593
CCTG361	b0344	3	594
CCTG362	b0343	1	593
CCTG362	b0344	2	594
CCTG363	b0345	1	115
CCTG364	b0345	1	115
CCTG364	b0346	2	134
CCTG365	b0347	1	595
CCTG365	b0348	2	596
CCTG365	b0349	3	597
CCTG365	b0350	4	598
CCTG365	b0351	5	599
CCTG365	b0352	6	600
CCTG366	b0353	1	601
CCTG367	b0354	1	602
CCTG368	b0355	1	603
CCTG368	b0356	2	604
CCTG368	b0357	3	605
CCTG369	b0358	1	606
CCTG370	b4579	1	4121
CCTG371	b0360	1	607
CCTG371	b0361	2	608
CCTG372	ECK120023917	1	8813
CCTG372	b0360	2	607
CCTG372	b0361	3	608
CCTG373	b0363	1	609
CCTG374	b4731	1	8242
CCTG375	b0364	1	610
CCTG376	b0365	1	611
CCTG376	b0366	2	612
CCTG376	b0367	3	613
CCTG377	b0365	1	611
CCTG377	b0366	2	612
CCTG377	b0367	3	613
CCTG377	b0368	4	614
CCTG378	b0369	1	615
CCTG379	b4580	1	4122
CCTG380	b4767	1	8814
CCTG381	b0372	1	4265
CCTG381	ECK120023908	2	8815
CCTG381	b0373	3	4266
CCTG382	b0375	1	616
CCTG383	b0376	1	617
CCTG384	b0377	1	618
CCTG385	b0377	1	618
CCTG385	b0378	2	619
CCTG386	b0378	1	619
CCTG387	b0379	1	620
CCTG388	b0380	1	621
CCTG389	b0381	1	622
CCTG390	b0382	1	623
CCTG390	b0383	2	624
CCTG391	b0382	1	623
CCTG392	b0383	1	624
CCTG392	b0384	2	625
CCTG393	b0384	1	625
CCTG394	b0385	1	626
CCTG395	b0386	1	627
CCTG396	b0387	1	628
CCTG396	b0388	2	629
CCTG396	b0389	3	630
CCTG397	b0387	1	628
CCTG397	b0388	2	629
CCTG397	b0389	3	630
CCTG397	b0390	4	631
CCTG397	b0391	5	632
CCTG397	b0392	6	4123
CCTG398	b0387	1	628
CCTG399	b0388	1	629
CCTG399	b0389	2	630
CCTG399	b0390	3	631
CCTG400	b0388	1	629
CCTG400	b0389	2	630
CCTG401	b0389	1	630
CCTG401	b0390	2	631
CCTG402	b0390	1	631
CCTG403	b0391	1	632
CCTG403	b0392	2	4123
CCTG404	b0391	1	632
CCTG405	b0393	1	633
CCTG406	b0392	1	4123
CCTG407	b4732	1	8243
CCTG408	b0394	1	123
CCTG409	b0396	1	634
CCTG410	b0397	1	635
CCTG410	b0398	2	636
CCTG411	b0398	1	636
CCTG412	b0399	1	166
CCTG412	b0400	2	637
CCTG413	b0401	1	638
CCTG413	b0402	2	639
CCTG414	b0402	1	639
CCTG415	b0403	1	640
CCTG416	b0404	1	641
CCTG417	b0405	1	642
CCTG418	b0405	1	642
CCTG418	b0406	2	643
CCTG418	b0407	3	644
CCTG419	b0406	1	643
CCTG419	b0407	2	644
CCTG419	b0408	3	645
CCTG420	b0406	1	643
CCTG420	b0407	2	644
CCTG421	b0407	1	644
CCTG421	b0408	2	645
CCTG422	b0407	1	644
CCTG423	b0407	1	644
CCTG423	b0408	2	645
CCTG423	b0409	3	646
CCTG424	b0411	1	648
CCTG425	b0410	1	647
CCTG426	b0412	1	649
CCTG427	b0413	1	155
CCTG427	b0414	2	650
CCTG427	b0415	3	651
CCTG427	b0416	4	652
CCTG427	b0417	5	653
CCTG428	b0413	1	155
CCTG428	b0414	2	650
CCTG428	b0415	3	651
CCTG428	b0416	4	652
CCTG428	b0417	5	653
CCTG428	b0418	6	654
CCTG429	b0415	1	651
CCTG429	b0416	2	652
CCTG429	b0417	3	653
CCTG429	b0418	4	654
CCTG430	b0415	1	651
CCTG430	b0416	2	652
CCTG430	b0417	3	653
CCTG431	b0418	1	654
CCTG432	b0419	1	655
CCTG433	b0419	1	655
CCTG433	b0420	2	656
CCTG433	b0421	3	657
CCTG433	b0422	4	658
CCTG434	b0420	1	656
CCTG434	b0421	2	657
CCTG434	b0422	3	658
CCTG435	b0423	1	659
CCTG436	b0424	1	660
CCTG436	b0425	2	661
CCTG437	b0427	1	663
CCTG438	b0426	1	662
CCTG439	b0428	1	664
CCTG439	b0429	2	665
CCTG439	b0430	3	666
CCTG439	b0431	4	667
CCTG440	b0428	1	664
CCTG440	b0429	2	665
CCTG440	b0430	3	666
CCTG441	b0428	1	664
CCTG441	b0429	2	665
CCTG441	b0430	3	666
CCTG441	b0431	4	667
CCTG441	b0432	5	668
CCTG442	b0429	1	665
CCTG442	b0430	2	666
CCTG443	b0429	1	665
CCTG443	b0430	2	666
CCTG443	b0431	3	667
CCTG443	b0432	4	668
CCTG444	b0429	1	665
CCTG444	b0430	2	666
CCTG444	b0431	3	667
CCTG445	b0430	1	666
CCTG445	b0431	2	667
CCTG446	b0431	1	667
CCTG447	b0433	1	669
CCTG447	b0434	2	670
CCTG448	b0433	1	669
CCTG449	b0434	1	670
CCTG450	b0435	1	25
CCTG451	b0436	1	671
CCTG452	b0436	1	671
CCTG452	b0437	2	672
CCTG452	b0438	3	673
CCTG453	b0437	1	672
CCTG453	b0438	2	673
CCTG454	b0438	1	673
CCTG455	b0438	1	673
CCTG455	b0439	2	674
CCTG456	b0439	1	674
CCTG456	b0440	2	53
CCTG457	ECK120002574	1	8816
CCTG458	b0439	1	674
CCTG459	b0440	1	53
CCTG460	b0440	1	53
CCTG460	b0441	2	675
CCTG461	b0441	1	675
CCTG462	b0441	1	675
CCTG462	b0442	2	676
CCTG462	b0443	3	677
CCTG463	b0442	1	676
CCTG464	b0443	1	677
CCTG465	b0444	1	678
CCTG466	b0445	1	679
CCTG467	b0446	1	680
CCTG468	b0447	1	222
CCTG469	b0447	1	222
CCTG469	b0448	2	681
CCTG470	b0448	1	681
CCTG470	b0449	2	682
CCTG471	b0450	1	683
CCTG471	b0451	2	684
CCTG472	b0452	1	685
CCTG473	b0453	1	686
CCTG474	b0454	1	687
CCTG475	b0455	1	8817
CCTG476	b0456	1	688
CCTG477	b0457	1	689
CCTG478	b0458	1	690
CCTG479	b0459	1	691
CCTG480	b0459	1	691
CCTG480	b0460	2	98
CCTG481	b0460	1	98
CCTG481	b0461	2	692
CCTG482	b0462	1	693
CCTG482	b0463	2	694
CCTG483	b0462	1	693
CCTG484	b0463	1	694
CCTG485	b0464	1	3
CCTG486	b0465	1	695
CCTG487	b0466	1	696
CCTG487	b0467	2	697
CCTG488	b0468	1	698
CCTG488	b0469	2	699
CCTG489	b0468	1	698
CCTG490	b0469	1	699
CCTG491	b0469	1	699
CCTG491	b0470	2	700
CCTG491	b0471	3	701
CCTG492	b0470	1	700
CCTG492	b0471	2	701
CCTG492	b0472	3	702
CCTG493	b0470	1	700
CCTG494	b0471	1	701
CCTG494	b0472	2	702
CCTG495	b0473	1	703
CCTG496	b0473	1	703
CCTG496	b0474	2	704
CCTG497	ECK125203396	1	8818
CCTG498	b0474	1	704
CCTG499	b0475	1	705
CCTG500	b0476	1	706
CCTG501	b0477	1	707
CCTG502	b0478	1	708
CCTG503	b0479	1	709
CCTG504	b0480	1	710
CCTG505	b0481	1	711
CCTG506	b0482	1	712
CCTG507	b4585	1	8819
CCTG508	b0483	1	223
CCTG509	b0484	1	713
CCTG510	b0485	1	714
CCTG510	b0486	2	715
CCTG511	b0488	1	716
CCTG511	b0489	2	717
CCTG512	b0487	1	47
CCTG513	b0490	1	718
CCTG513	b0491	2	719
CCTG514	b0492	1	720
CCTG514	b0493	2	721
CCTG515	b0492	1	720
CCTG516	b0492	1	720
CCTG516	b0493	2	721
CCTG516	b0494	3	722
CCTG517	b0493	1	721
CCTG517	b0494	2	722
CCTG518	b0495	1	723
CCTG518	b0496	2	724
